fov,line,cellID,parentID,frame0,frame1,t0Trans,t1Trans,divT,w0,w1,meanw,L0,L1,expfitBL0,expfitBL1,expfitBL2,area0,area1,expfitBarea0,expfitBarea1,expfitBarea2,V0,V1,expfitBV0,expfitBV1,expfitBV2,SA0,SA1,expfitBSA0,expfitBSA1,expfitBSA2,meanbeta2SA_V_4_0,Itot0,Itot1,xCM0,yCM0,xCM1,yCM1,orientation0,orientation1
0,3,109,105,97.000000,100.000000,144.633333,166.033333,28.531485,1.070332,1.063232,1.058464,2.271958,4.864654,1.975561,5.061431,0.032972,2.185899,4.929657,1.868337,5.135448,0.035436,1.723203,4.004480,1.452177,4.166409,0.036939,7.639565,16.249124,6.579609,16.803744,0.032861,0.145530,1838089.000000,3529464.000000,23.436210,32.981970,30.759170,26.336665,-0.061960,0.011350
0,3,120,107,103.000000,107.000000,187.433333,215.983333,35.681485,1.018731,1.060227,1.041634,2.006711,3.985885,1.847268,4.404030,0.024359,1.821582,3.984712,1.671529,4.461091,0.027523,1.358875,3.206934,1.245675,3.623905,0.029940,6.422355,13.276186,5.925825,14.698644,0.025470,0.114814,1326992.000000,3217841.000000,13.958361,27.381888,15.058723,27.349039,-0.007581,-0.061725
0,3,124,108,105.000000,107.000000,201.700000,215.983333,21.414819,1.089132,1.117018,1.114072,2.763398,3.756028,2.577129,4.083797,0.021512,2.755143,3.927787,2.564457,4.365168,0.024856,2.236281,3.315896,2.081895,3.758835,0.027609,9.455270,13.180716,8.850545,14.565002,0.023278,0.096060,2039857.000000,3299842.000000,20.158805,27.007005,22.711946,26.848194,-0.021600,-0.054097
0,3,128,120,108.000000,112.000000,223.116667,251.616667,35.631485,1.006510,1.033633,1.025724,2.319892,4.253106,2.171475,4.645214,0.021320,2.117590,4.166870,1.980722,4.624641,0.023774,1.578894,3.279740,1.477947,3.688622,0.025643,7.335602,13.810912,6.885576,15.210564,0.022221,0.099547,1716055.000000,3600035.000000,14.223798,27.410427,15.312325,27.314908,-0.074011,-0.065273
0,3,129,120,108.000000,110.000000,223.116667,237.366667,21.381485,1.059032,1.119235,1.111611,2.431078,3.332487,2.261572,3.629652,0.022106,2.333902,3.461007,2.170965,3.920418,0.027618,1.830491,2.911637,1.706970,3.423775,0.032524,8.088309,11.717623,7.577512,13.204929,0.025954,0.110113,2021201.000000,3070035.000000,16.452620,27.252221,18.204284,27.200778,-0.037987,-0.057437
0,3,132,129,111.000000,115.000000,244.500000,273.000000,35.631485,1.213224,1.141958,1.165754,1.949479,3.445314,1.824089,3.729105,0.020049,2.049280,3.654550,1.893742,3.965265,0.020720,1.786161,3.138867,1.632408,3.400357,0.020575,7.430355,12.360299,6.886220,13.243853,0.018337,0.075173,1869619.000000,3335325.000000,17.977764,27.201387,21.536115,26.954547,-0.024160,-0.083139
0,3,134,128,113.000000,116.000000,258.733333,280.150000,28.548152,1.016213,1.039398,1.032002,2.637984,4.264843,2.442892,4.612080,0.022272,2.459136,4.201024,2.269822,4.601564,0.024767,1.864853,3.324756,1.718847,3.680402,0.026683,8.421834,13.926269,7.810169,15.162617,0.023250,0.102588,2011755.000000,3593961.000000,14.418331,27.367068,15.138677,27.433177,-0.029122,-0.064664
0,3,145,135,117.000000,119.000000,287.283333,301.533333,21.381485,1.083760,1.128943,1.098097,2.176001,2.823921,2.043081,3.020479,0.018269,2.106205,2.914532,1.934095,3.148329,0.022768,1.674065,2.450051,1.505857,2.666448,0.026700,7.408699,10.015537,6.833196,10.744745,0.021151,0.092019,1814189.000000,2530044.000000,21.310585,27.047585,24.279252,26.900904,-0.020387,-0.044382
0,3,148,142,121.000000,124.000000,315.783333,337.200000,28.548152,1.048162,1.030729,1.030476,2.657973,4.407430,2.443951,4.794790,0.023618,2.550215,4.314873,2.282717,4.757299,0.025735,1.992015,3.390916,1.737818,3.779686,0.027232,8.752434,14.271837,7.856039,15.632094,0.024114,0.106067,1998524.000000,3308693.000000,14.516916,27.532887,15.368178,27.520999,-0.062767,-0.065286
0,3,149,142,121.000000,124.000000,315.783333,337.200000,28.548152,1.116842,1.123937,1.124481,2.533286,4.181564,2.337962,4.598918,0.023711,2.561600,4.428722,2.343770,4.963741,0.026299,2.117042,3.777004,1.924063,4.301773,0.028198,8.888449,14.764903,8.172518,16.418194,0.024449,0.100556,2199960.000000,3514909.000000,17.045444,27.387282,19.599336,27.257598,-0.044949,-0.060925
0,3,151,143,121.000000,125.000000,315.783333,344.333333,35.681485,1.195543,1.134504,1.152976,2.303962,3.675480,2.207405,3.934132,0.016202,2.447751,3.893632,2.331300,4.139802,0.016100,2.139034,3.333204,2.026738,3.508896,0.015389,8.653476,13.099958,8.254300,13.798530,0.014406,0.058080,2118547.000000,3151592.000000,21.626849,27.093860,29.141580,26.636313,-0.039306,-0.063125
0,3,153,148,125.000000,128.000000,344.333333,365.683333,28.481485,1.071870,1.098793,1.090146,2.577381,4.432117,2.400551,4.893697,0.024962,2.516061,4.610880,2.308265,5.235538,0.028702,2.003296,3.855435,1.812438,4.490418,0.031797,8.679021,15.299491,7.985137,17.251177,0.026996,0.114634,1886146.000000,3964401.000000,17.120281,27.407899,19.644656,27.270412,-0.058466,-0.092450
0,3,155,149,125.000000,127.000000,344.333333,358.583333,21.381485,1.090531,1.111660,1.096240,2.635177,3.925449,2.391178,4.347415,0.027934,2.618525,4.098560,2.339027,4.580335,0.031404,2.121829,3.450328,1.870324,3.878701,0.034084,9.028125,13.709164,8.115774,15.191343,0.029295,0.124273,2050962.000000,3333196.000000,22.217723,27.079532,25.909428,26.880990,-0.060484,-0.054254
0,3,164,153,129.000000,132.000000,372.816667,394.216667,28.531485,1.140010,1.088230,1.109454,2.601499,4.041646,2.427800,4.349749,0.020437,2.686834,4.144100,2.484117,4.481514,0.020679,2.267529,3.421761,2.080076,3.708509,0.020265,9.317133,13.817482,8.646440,14.835127,0.018920,0.077971,2268452.000000,3337590.000000,19.630992,27.236079,23.799376,27.011222,-0.076656,-0.035203
0,3,172,163,134.000000,136.000000,408.466667,422.733333,21.398152,1.023079,1.067588,1.050010,3.290902,4.441437,3.054379,4.788900,0.021015,3.142230,4.497032,2.886776,4.942483,0.025127,2.424999,3.657211,2.208834,4.090752,0.028797,10.577275,14.896247,9.757890,16.306413,0.023994,0.102630,2371942.000000,3697563.000000,20.909721,27.273834,23.385669,27.132865,-0.036065,-0.055343
0,3,175,170,137.000000,139.000000,429.866667,444.133333,21.398152,1.147296,1.068651,1.096966,2.171320,3.020557,2.026062,3.324279,0.023138,2.208669,2.982841,2.062518,3.237033,0.021062,1.849371,2.389742,1.732478,2.545943,0.017988,7.826167,10.140808,7.355030,10.866699,0.018239,0.078352,1937287.000000,2506515.000000,16.459850,27.525850,17.436898,27.546926,-0.107426,-0.114850
0,3,181,171,138.000000,141.000000,437.000000,458.400000,28.531485,1.143756,1.121146,1.128376,3.062420,4.383715,2.875926,4.648821,0.016831,3.221924,4.645035,3.047364,4.861502,0.016369,2.754741,3.958752,2.629052,4.079668,0.015399,11.003935,15.440245,10.457984,16.061572,0.015037,0.059995,2787187.000000,4061214.000000,22.201518,27.211893,26.020416,27.045835,0.008517,-0.047669
