fov,line,cellID,parentID,frame,tTrans,w,L,growthRateL2_0,area,growthRatearea2_0,V,growthRateV2_0,SA,growthRateSA2_0,beta2SA_V_2_0,Itot,xCM,yCM,orientation
25,1,37,23,30,-331.916667,1.019137,1.972668,0.021579,1.787525,0.022445,1.332077,0.022326,6.315918,0.019553,0.092708,210396.000000,25.622952,6.467243,0.039098
25,1,37,23,31,-326.916667,1.009817,2.185511,0.019224,1.988131,0.019976,1.480779,0.019938,6.933392,0.017684,0.082799,241255.000000,26.951810,6.531869,0.081988
25,1,37,23,32,-321.916667,1.003293,2.392810,0.017163,2.184672,0.018036,1.627311,0.018270,7.541988,0.016241,0.075271,254624.000000,27.092498,6.547003,0.078267
25,1,37,23,33,-316.916667,1.000257,2.596196,0.016797,2.382151,0.017431,1.778095,0.017480,8.158287,0.015836,0.072659,278739.000000,28.434298,6.608387,0.140231
25,1,37,23,34,-311.916667,0.993999,2.828904,0.016207,2.599894,0.016636,1.938115,0.016542,8.833931,0.015231,0.069423,289075.000000,28.991981,6.680918,0.186106
25,1,37,23,35,-306.916667,0.990330,3.054686,0.015268,2.814675,0.015495,2.098691,0.015261,9.503778,0.014282,0.064677,308811.000000,29.909068,6.659932,0.185474
25,1,37,23,36,-301.916667,0.984430,3.295297,0.014694,3.036019,0.013073,2.258394,0.011025,10.191294,0.011893,0.053667,350141.000000,31.074899,6.644930,0.167431
25,1,37,23,37,-296.916667,0.963845,3.538894,0.014709,3.211581,0.011445,2.347675,0.007728,10.715800,0.010260,0.046831,366720.000000,32.157908,6.652929,0.148443
25,1,37,23,38,-291.916667,0.941851,3.815840,0.013454,3.403582,0.008345,2.439813,0.002894,11.290733,0.007258,0.033588,392425.000000,33.498997,6.645592,0.144460
25,1,37,23,39,-286.916667,0.906110,4.052264,0.011669,3.495600,0.005265,2.418294,-0.001780,11.535287,0.004240,0.020225,347559.000000,34.929058,6.650378,0.111002
25,1,41,29,32,-321.916667,0.955686,2.216926,0.015916,1.922681,0.015298,1.361757,0.014025,6.656043,0.013465,0.065816,206996.000000,18.745133,6.824301,0.113521
25,1,41,29,33,-316.916667,0.944838,2.393349,0.016136,2.069748,0.017152,1.457251,0.017609,7.104170,0.015583,0.075967,236007.000000,19.264200,6.788288,0.126500
25,1,41,29,34,-311.916667,0.949270,2.603121,0.016651,2.277684,0.019265,1.618371,0.021404,7.763078,0.017957,0.086138,223628.000000,18.994285,6.783874,-0.081708
25,1,41,29,35,-306.916667,0.956935,2.826799,0.015766,2.508547,0.018749,1.803647,0.021331,8.498207,0.017659,0.083205,270365.000000,19.030430,6.770115,-0.072422
25,1,41,29,36,-301.916667,0.967190,3.048791,0.015791,2.748010,0.020130,2.003099,0.024173,9.263806,0.019212,0.088852,310616.000000,19.209888,6.760979,-0.051290
25,1,41,29,37,-296.916667,0.988926,3.308227,0.015207,3.061717,0.019814,2.287849,0.024106,10.278008,0.019040,0.085534,354084.000000,19.295644,6.787945,-0.061484
25,1,41,29,38,-291.916667,1.005575,3.551859,0.013719,3.354660,0.017465,2.554612,0.020885,11.220704,0.016803,0.073803,398849.000000,19.444357,6.751397,-0.051183
25,1,42,29,32,-321.916667,0.914595,2.011207,0.018220,1.659928,0.022013,1.121020,0.025230,5.778769,0.020225,0.104260,169602.000000,20.731956,6.927461,0.072262
25,1,42,29,33,-316.916667,0.923001,2.194423,0.016625,1.842629,0.020083,1.262438,0.023029,6.363155,0.018630,0.093900,193603.000000,21.472547,6.920257,0.059588
25,1,42,29,34,-311.916667,0.932970,2.376038,0.016003,2.029976,0.018361,1.411743,0.020200,6.964196,0.016993,0.083828,221069.000000,21.378150,6.874699,0.146597
25,1,42,29,35,-306.916667,0.932998,2.574664,0.014477,2.215348,0.016316,1.547616,0.017730,7.546595,0.015145,0.073851,246790.000000,21.692688,6.838261,0.162309
25,1,42,29,36,-301.916667,0.938809,2.748780,0.012718,2.391439,0.014359,1.686142,0.015636,8.107133,0.013412,0.064488,246486.000000,22.073752,6.790873,0.084099
25,1,42,29,37,-296.916667,0.939818,2.924259,0.011962,2.558724,0.012049,1.811266,0.011778,8.633953,0.011109,0.052955,263004.000000,22.318713,6.883566,0.119322
25,1,42,29,38,-291.916667,0.931355,3.098593,0.010360,2.699740,0.010748,1.899482,0.010851,9.066290,0.009998,0.047722,285410.000000,22.641197,6.808907,0.095446
25,1,42,29,39,-286.916667,0.935769,3.245259,0.009039,2.848893,0.010471,2.017385,0.011689,9.540427,0.009940,0.047005,313458.000000,23.125418,6.738254,0.057017
25,1,43,30,32,-321.916667,0.989246,2.529019,0.017418,2.291811,0.017965,1.690351,0.017892,7.859704,0.016282,0.075709,249604.000000,22.777281,6.718931,0.143218
25,1,43,30,33,-316.916667,0.984080,2.749268,0.016307,2.497676,0.018036,1.841572,0.019285,8.499578,0.016693,0.077047,278324.000000,23.710510,6.751602,0.147726
25,1,43,30,34,-311.916667,0.991983,2.977332,0.016018,2.742288,0.017864,2.045494,0.019253,9.278575,0.016692,0.075715,291378.000000,23.792307,6.652611,0.002450
25,1,43,30,35,-306.916667,0.991412,3.226187,0.016339,2.987549,0.017670,2.235396,0.018566,10.048324,0.016527,0.074289,341110.000000,24.352682,6.743201,0.081961
25,1,43,30,36,-301.916667,0.993611,3.504455,0.016082,3.270198,0.017810,2.460523,0.019154,10.939234,0.016812,0.074747,372513.000000,25.009744,6.769195,0.085044
25,1,43,30,37,-296.916667,0.998454,3.789762,0.016065,3.569964,0.016743,2.706689,0.017034,11.887482,0.015775,0.069280,399720.000000,25.547078,6.878708,0.038920
25,1,43,30,38,-291.916667,0.991656,4.113281,0.016256,3.867923,0.016612,2.921574,0.016602,12.814426,0.015688,0.068809,431015.000000,26.167158,6.871042,0.046278
25,1,43,30,39,-286.916667,0.992240,4.458403,0.015482,4.212520,0.016361,3.191733,0.016929,13.897791,0.015590,0.067886,473304.000000,26.978329,6.837764,0.064482
25,1,44,30,32,-321.916667,0.810060,2.302695,0.019919,1.724500,0.027698,1.047593,0.035297,5.860080,0.026529,0.148397,175759.000000,25.029464,6.888386,0.019937
25,1,44,30,33,-316.916667,0.834407,2.532030,0.018418,1.963330,0.024600,1.232479,0.030381,6.637380,0.023597,0.127079,195648.000000,26.166418,6.895248,-0.004661
25,1,44,30,34,-311.916667,0.853672,2.769053,0.017509,2.207472,0.023355,1.422036,0.028892,7.426298,0.022461,0.117297,228346.000000,26.540558,6.786654,0.113486
25,1,44,30,35,-306.916667,0.876299,3.016876,0.018199,2.478891,0.024264,1.643331,0.030009,8.305378,0.023394,0.118232,249431.000000,27.263292,6.735558,0.137429
