fov,line,cellID,parentID,frame,tTrans,w,L,growthRateL2_0,area,growthRatearea2_0,V,growthRateV2_0,SA,growthRateSA2_0,beta2SA_V_2_0,Itot,xCM,yCM,orientation
25,6,98,97,97,3.083333,0.956057,1.989276,0.010566,1.705706,0.004532,1.199300,-0.002009,5.974875,0.002518,0.012544,194159.000000,20.097554,32.863600,0.025455
25,6,98,97,98,8.083333,0.919516,2.094369,0.012692,1.744357,0.009143,1.187251,0.004834,6.050094,0.007224,0.036811,196171.000000,20.157986,32.843507,0.025321
25,6,98,97,99,13.083333,0.905051,2.255097,0.014308,1.865193,0.014088,1.256694,0.013310,6.411917,0.012554,0.064052,196734.000000,20.249443,32.871221,0.029862
25,6,98,97,100,18.083333,0.902773,2.417025,0.013844,2.007124,0.015140,1.354512,0.015999,6.855030,0.013935,0.070524,220004.000000,20.343281,32.906408,0.025380
25,6,98,97,101,23.083333,0.905522,2.589716,0.014327,2.169078,0.017376,1.473399,0.020085,7.367176,0.016364,0.081822,289812.000000,20.493869,32.735560,-0.113637
25,6,98,97,102,28.083333,0.920270,2.788061,0.014203,2.384023,0.018274,1.650442,0.022033,8.060599,0.017437,0.085162,311520.000000,20.519651,32.777247,-0.170332
25,6,98,97,103,33.083333,0.935269,2.985710,0.012616,2.604724,0.016262,1.837033,0.019637,8.772717,0.015568,0.074346,323397.000000,20.627883,32.766301,-0.166385
25,6,98,97,104,38.083333,0.948105,3.164736,0.012360,2.807594,0.015026,2.011172,0.017404,9.426350,0.014315,0.067095,337452.000000,20.706280,32.760356,-0.153071
25,6,98,97,105,43.083333,0.954130,3.376865,0.013600,3.026604,0.015459,2.187054,0.017002,10.122116,0.014650,0.067805,347161.000000,20.837689,32.772905,-0.137706
25,6,98,97,106,48.083333,0.958210,3.623977,0.014249,3.275491,0.016002,2.383014,0.017442,10.909277,0.015201,0.069589,365829.000000,20.978833,32.828767,-0.134912
25,6,98,97,107,53.083333,0.963159,3.893262,0.014883,3.550749,0.015788,2.602691,0.016359,11.780439,0.014965,0.067735,397503.000000,21.152849,32.847578,-0.122949
25,6,98,97,108,58.083333,0.959622,4.203415,0.014757,3.836069,0.014876,2.808784,0.014675,12.672211,0.014074,0.063499,424279.000000,21.277310,32.836688,-0.115572
25,6,99,97,97,3.083333,1.050345,2.309074,0.013480,2.188570,0.014733,1.697379,0.015470,7.619379,0.013254,0.059496,291970.000000,22.164852,32.817713,0.022011
25,6,99,97,98,8.083333,1.049234,2.464702,0.013476,2.349796,0.013495,1.828674,0.012988,8.124313,0.012011,0.053364,310710.000000,22.347144,32.716822,-0.250832
25,6,99,97,99,13.083333,1.035866,2.641217,0.013614,2.505675,0.012280,1.934886,0.010404,8.595231,0.010772,0.047853,338736.000000,22.588821,32.741110,-0.249702
25,6,99,97,100,18.083333,1.020002,2.824282,0.013461,2.657500,0.011297,2.029984,0.008618,9.050214,0.009873,0.044016,358866.000000,22.849172,32.775437,-0.224696
