fov,line,cellID,parentID,frame,tTrans,w,L,growthRateL2_0,area,growthRatearea2_0,V,growthRateV2_0,SA,growthRateSA2_0,beta2SA_V_2_0,Itot,xCM,yCM,orientation
12,525,11,1,112,76.533333,0.998876,2.873141,0.026667,2.655792,0.035756,1.990573,0.044551,9.016094,0.034081,0.154365,2114238.000000,14.974635,36.116805,0.022431
12,525,11,1,113,81.533333,1.031549,3.256225,0.024213,3.130598,0.030051,2.433978,0.035269,10.552466,0.028629,0.124120,2457818.000000,15.406016,36.219835,0.079569
12,525,11,1,114,86.533333,1.046419,3.661578,0.023278,3.596558,0.027127,2.849003,0.030443,12.037156,0.025771,0.108885,2923746.000000,15.937782,36.256464,0.078427
12,525,11,1,115,91.533333,1.057885,4.108574,0.022657,4.106233,0.025058,3.301308,0.026948,13.654613,0.023811,0.098486,3390313.000000,16.476041,36.276554,0.082319
12,525,11,1,116,96.533333,1.059664,4.592468,0.022015,4.625500,0.022078,3.738652,0.021665,15.288478,0.020888,0.085418,3822724.000000,17.319206,36.246307,0.054879
12,525,11,1,117,101.533333,1.047525,5.119612,0.020593,5.127436,0.019578,4.111277,0.018127,16.848112,0.018514,0.075871,4086261.000000,18.062280,36.276348,-0.007235
12,525,13,6,115,91.533333,0.891938,2.875225,0.017526,2.393796,0.029700,1.610748,0.042348,8.056688,0.029189,0.145998,1689736.000000,10.302311,36.193341,-0.014109
12,525,13,6,116,96.533333,0.939761,3.127179,0.016754,2.749276,0.026055,1.951811,0.035065,9.232520,0.025507,0.120653,1924255.000000,10.403925,36.187508,-0.007957
12,525,13,6,117,101.533333,0.974980,3.399162,0.016441,3.110119,0.023037,2.295141,0.029309,10.411605,0.022353,0.101401,2613450.000000,10.451359,36.313941,0.013805
12,525,13,6,118,106.533333,0.998256,3.686032,0.016430,3.465751,0.022064,2.624484,0.027441,11.559819,0.021349,0.094035,2967691.000000,10.592528,36.300889,0.014959
12,525,13,6,119,111.533333,1.023701,4.004766,0.016210,3.874786,0.020365,3.015336,0.024179,12.879526,0.019632,0.083856,3459096.000000,10.769057,36.196676,-0.022998
12,525,13,6,120,116.533333,1.034427,4.335220,0.015904,4.254834,0.018320,3.353566,0.020423,14.088367,0.017553,0.073741,3782663.000000,10.929462,36.223192,-0.030231
12,525,13,6,121,121.533333,1.041035,4.694223,0.015296,4.654274,0.017164,3.700250,0.018738,15.352489,0.016468,0.068326,4301486.000000,11.093450,36.283670,-0.029016
12,525,14,6,115,91.533333,1.029079,3.053988,0.014357,2.915530,0.015580,2.254813,0.016385,9.873379,0.014468,0.063354,2276516.000000,13.134399,36.274704,0.076244
12,525,14,6,116,96.533333,1.029615,3.273216,0.013376,3.142650,0.015561,2.439544,0.017431,10.587642,0.014677,0.063700,2441462.000000,13.464033,36.251028,0.025505
12,525,14,6,117,101.533333,1.041709,3.491805,0.012817,3.404567,0.014441,2.680054,0.015732,11.427366,0.013631,0.058122,2796239.000000,13.780715,36.209127,-0.043923
12,525,14,6,118,106.533333,1.039028,3.720765,0.013190,3.634300,0.014902,2.861173,0.016326,12.145335,0.014109,0.059892,3167323.000000,14.210618,36.188541,-0.024731
12,525,14,6,119,111.533333,1.050305,3.982561,0.013185,3.946168,0.015177,3.147180,0.016876,13.140980,0.014468,0.060413,3427070.000000,14.613937,36.202700,-0.056206
