fov,line,cellID,parentID,frame,tTrans,w,L,growthRateL2_0,area,growthRatearea2_0,V,growthRateV2_0,SA,growthRateSA2_0,beta2SA_V_2_0,Itot,xCM,yCM,orientation
33,6386,18,9,70,-130.950000,0.763934,2.632335,0.026853,1.885689,0.031126,1.089824,0.034821,6.317520,0.029477,0.170873,1003232.000000,11.226922,48.825660,0.026950
33,6386,18,9,71,-125.950000,0.772770,2.985765,0.022073,2.179156,0.023896,1.279567,0.025204,7.248630,0.022652,0.128322,1112794.000000,11.290160,48.722903,-0.010857
33,6386,18,9,72,-120.950000,0.769764,3.291378,0.019521,2.406423,0.019873,1.412320,0.019798,7.959485,0.018804,0.105973,1319608.000000,11.522165,48.705918,-0.030273
33,6386,18,9,73,-115.950000,0.767229,3.628271,0.016565,2.657393,0.014976,1.559178,0.013058,8.745302,0.014084,0.078995,1394411.000000,11.636524,48.654311,-0.052197
33,6386,18,9,74,-110.950000,0.751629,3.892398,0.013571,2.804400,0.010484,1.615918,0.007023,9.191164,0.009702,0.055184,1418405.000000,11.859880,48.723855,-0.039117
