fov,line,cellID,parentID,frame,tTrans,w,L,growthRateL2_0,area,growthRatearea2_0,V,growthRateV2_0,SA,growthRateSA2_0,beta2SA_V_2_0,Itot,xCM,yCM,orientation
23,9667,9,2,56,-202.150000,0.834318,2.034967,0.031999,1.548428,0.038783,0.960485,0.044707,5.333826,0.035979,0.199803,736671.000000,14.369201,49.666844,0.110842
23,9667,9,2,57,-197.150000,0.848632,2.360553,0.029344,1.848689,0.032962,1.175185,0.035670,6.293365,0.030658,0.164180,933417.000000,14.632773,49.850240,-0.059129
23,9667,9,2,58,-192.150000,0.847605,2.727642,0.022901,2.157786,0.027043,1.379669,0.030711,7.263247,0.025565,0.134585,1054976.000000,14.995225,49.857512,-0.087793
23,9667,9,2,59,-187.150000,0.869050,2.985200,0.018859,2.432210,0.022120,1.598900,0.024888,8.150196,0.021033,0.107216,1581424.000000,14.860708,49.807786,-0.083700
23,9667,9,2,60,-182.150000,0.868418,3.290619,0.018457,2.695791,0.020509,1.777602,0.022163,8.977517,0.019450,0.098229,1319022.000000,15.885690,49.805135,0.043412
23,9667,9,2,61,-177.150000,0.876840,3.592555,0.005418,2.985099,0.011922,1.992878,0.018747,9.896318,0.012036,0.059768,1447711.000000,16.288945,49.852268,0.119479
23,9667,9,2,62,-172.150000,0.928703,3.485261,0.005996,3.051680,0.012959,2.151205,0.019670,10.168617,0.012966,0.061291,1649345.000000,16.807956,49.790627,0.131844
23,9667,9,2,63,-167.150000,0.939043,3.801516,0.017208,3.380552,0.020576,2.416018,0.023630,11.214821,0.019752,0.091687,1789851.000000,17.795268,49.655602,0.070818
23,9667,9,2,64,-162.150000,0.952274,4.139440,0.016041,3.747275,0.020030,2.722114,0.023777,12.383785,0.019367,0.088107,1857110.000000,18.223077,49.805939,-0.049986
23,9667,9,2,65,-157.150000,0.970373,4.465511,0.017241,4.131138,0.021859,3.063255,0.026231,13.613188,0.021204,0.094230,2209470.000000,18.791120,49.778021,-0.057163
23,9667,9,2,66,-152.150000,0.990085,4.909356,0.018082,4.650313,0.022329,3.525630,0.026229,15.270279,0.021703,0.094003,2480356.000000,19.245519,49.798866,-0.027192
23,9667,10,2,56,-202.150000,0.914190,2.146268,0.009131,1.782743,0.022048,1.208768,0.035906,6.164104,0.022432,0.114390,901339.000000,16.279753,49.710196,0.132672
23,9667,10,2,57,-197.150000,0.972331,2.244257,0.011654,1.979269,0.020285,1.425779,0.028544,6.855457,0.019926,0.095808,979233.000000,16.687623,49.720272,0.011559
23,9667,10,2,58,-192.150000,0.995474,2.407807,0.013321,2.184246,0.017831,1.615747,0.021969,7.530112,0.016893,0.078728,1137474.000000,17.241305,49.771739,0.018839
23,9667,10,2,59,-187.150000,1.008601,2.565001,0.015784,2.368753,0.016496,1.780737,0.016652,8.127495,0.015020,0.068551,1259524.000000,17.952397,49.723662,-0.060178
23,9667,10,2,60,-182.150000,0.990328,2.812680,0.017988,2.575006,0.017113,1.912273,0.015597,8.750833,0.015416,0.070545,1313876.000000,18.599495,49.865871,-0.046643
23,9667,10,2,61,-177.150000,0.982259,3.070948,0.017828,2.809413,0.017282,2.078987,0.016184,9.476512,0.015826,0.072140,1413410.000000,19.224228,49.878249,-0.048836
