fov,line,cellID,parentID,frame,tTrans,w,L,growthRateL2_0,area,growthRatearea2_0,V,growthRateV2_0,SA,growthRateSA2_0,beta2SA_V_2_0,Itot,xCM,yCM,orientation
4,6,31,22,31,-329.433333,0.956737,1.994031,0.013833,1.711329,0.019717,1.204262,0.025374,5.993418,0.018619,0.092663,971800.000000,12.736231,35.830293,-0.031611
4,6,31,22,32,-324.433333,0.978153,2.131945,0.013753,1.880040,0.016314,1.357048,0.018348,6.551374,0.014985,0.072341,1080626.000000,13.070438,35.894254,-0.062582
4,6,31,22,33,-319.433333,0.970717,2.287228,0.013822,2.018033,0.014892,1.453250,0.015459,6.975122,0.013454,0.064575,1142811.000000,13.418118,35.880839,-0.021788
4,6,31,22,34,-314.433333,0.973854,2.448090,0.013725,2.180556,0.013376,1.581701,0.012524,7.489817,0.011963,0.056649,1332179.000000,13.468400,35.970000,-0.059512
4,6,31,22,35,-309.433333,0.955102,2.623240,0.015016,2.309697,0.013552,1.651338,0.011506,7.871137,0.012016,0.057274,1383935.000000,13.834356,36.056517,-0.071379
4,6,31,22,36,-304.433333,0.944806,2.841995,0.015957,2.493568,0.015241,1.771702,0.014001,8.435599,0.013853,0.065958,1511291.000000,14.103978,36.145359,-0.062750
4,6,31,22,37,-299.433333,0.935224,3.076729,0.017280,2.689730,0.017158,1.899390,0.016529,9.039713,0.015846,0.075418,1625342.000000,14.419943,36.042137,-0.053168
4,6,31,22,38,-294.433333,0.931068,3.373658,0.017603,2.955069,0.017958,2.085655,0.017862,9.868072,0.016789,0.079434,1829040.000000,14.844233,36.164429,0.032580
4,6,32,20,31,-329.433333,1.048557,2.359466,0.023994,2.238086,0.018449,1.735636,0.011910,7.772410,0.015225,0.068181,1441368.000000,18.645825,35.936124,-0.071906
4,6,32,20,32,-324.433333,1.007512,2.642525,0.020320,2.444538,0.016970,1.838990,0.012702,8.364101,0.014593,0.066370,1560528.000000,19.352528,35.872343,0.106085
4,6,32,20,33,-319.433333,0.988301,2.896429,0.019392,2.652935,0.017599,1.969218,0.015120,8.992950,0.015782,0.072071,1656859.000000,20.217842,35.872450,0.081413
4,6,32,20,34,-314.433333,0.971888,3.204213,0.017942,2.911429,0.017426,2.136742,0.016364,9.783343,0.016023,0.073361,1756808.000000,20.959236,36.043948,-0.022150
4,6,32,20,35,-309.433333,0.968367,3.471315,0.016838,3.160268,0.016747,2.318874,0.016210,10.560486,0.015602,0.071054,1961733.000000,21.816671,36.069239,0.093931
4,6,32,20,36,-304.433333,0.960378,3.788717,0.018845,3.440669,0.017791,2.512625,0.016267,11.431005,0.016586,0.075457,2258178.000000,22.615954,36.153859,0.075570
4,6,32,20,37,-299.433333,0.947368,4.185286,0.019020,3.772401,0.016802,2.727609,0.014146,12.456439,0.015666,0.071544,2414895.000000,23.543828,36.098861,-0.054439
4,6,32,20,38,-294.433333,0.929114,4.584757,0.017426,4.074506,0.014829,2.898473,0.011790,13.382437,0.013839,0.063896,2651008.000000,24.856371,36.223024,-0.045398
4,6,34,23,34,-314.433333,1.250120,2.399907,0.010903,2.664792,0.007199,2.434221,0.002899,9.425318,0.005202,0.020142,2139518.000000,15.866890,36.009633,-0.045214
4,6,34,23,35,-309.433333,1.216325,2.530741,0.011449,2.760712,0.008217,2.469502,0.004326,9.670463,0.006308,0.024702,2320848.000000,16.422373,36.119878,-0.062505
4,6,34,23,36,-304.433333,1.187647,2.689640,0.012747,2.891646,0.010450,2.541043,0.007519,10.035323,0.008681,0.034285,2348858.000000,16.833216,36.201417,-0.035829
4,6,34,23,37,-299.433333,1.167706,2.873598,0.013138,3.062900,0.011128,2.660553,0.008551,10.541670,0.009532,0.037769,2520173.000000,17.352703,36.065831,-0.084753
4,6,34,23,38,-294.433333,1.145751,3.067161,0.014201,3.232485,0.012985,2.768560,0.011207,11.040191,0.011499,0.045856,2688423.000000,18.027807,36.094176,0.063667
4,6,34,23,39,-289.433333,1.136122,3.309175,0.015396,3.482624,0.015238,2.970823,0.014574,11.811216,0.013892,0.055230,2871915.000000,18.687396,36.226036,0.075137
4,6,34,23,40,-284.433333,1.128568,3.576641,0.015158,3.763152,0.015212,3.201523,0.014813,12.680984,0.014026,0.055557,3037227.000000,19.457367,36.267854,0.061989
4,6,34,23,41,-279.433333,1.123194,3.851338,0.014948,4.055064,0.015399,3.445056,0.015448,13.589894,0.014358,0.056640,3315923.000000,20.507147,36.245397,0.040328
4,6,34,23,42,-274.433333,1.121683,4.152326,0.014497,4.387587,0.015157,3.733719,0.015463,14.632260,0.014247,0.055835,3733600.000000,21.250015,36.267692,0.057948
4,6,36,31,39,-289.433333,1.051256,1.900262,0.020856,1.760497,0.019601,1.345224,0.017266,6.275841,0.016306,0.076071,1176097.000000,14.444171,36.194555,0.102752
4,6,36,31,40,-284.433333,1.029596,2.098424,0.017166,1.933038,0.015090,1.461359,0.012173,6.787506,0.012525,0.058175,1246175.000000,14.854029,36.227491,0.110301
4,6,36,31,41,-279.433333,1.003447,2.260479,0.016712,2.052187,0.015165,1.523120,0.012831,7.125982,0.012992,0.060784,1454345.000000,15.417874,36.200048,0.018871
4,6,36,31,42,-274.433333,0.991529,2.476201,0.017711,2.244243,0.017971,1.656791,0.017573,7.713315,0.016146,0.075168,1405745.000000,15.820129,36.257459,0.095271
