fov,line,cellID,parentID,frame,tTrans,w,L,growthRateL2_0,area,growthRatearea2_0,V,growthRateV2_0,SA,growthRateSA2_0,beta2SA_V_2_0,Itot,xCM,yCM,orientation
5,7,35,26,35,-309.316667,0.986031,1.955200,0.011546,1.719241,0.006407,1.242029,0.000671,6.056642,0.004245,0.020701,885353.000000,12.578666,42.197042,0.108018
5,7,35,26,36,-304.316667,0.952001,2.068074,0.012037,1.774314,0.011679,1.246197,0.010735,6.185196,0.010070,0.049980,905570.000000,12.783508,42.304077,0.071327
5,7,35,26,37,-299.316667,0.964620,2.204131,0.013272,1.926464,0.015079,1.375811,0.016398,6.679497,0.013782,0.066909,961858.000000,13.065962,42.160179,-0.005717
5,7,35,26,38,-294.316667,0.958151,2.360615,0.013685,2.064809,0.015291,1.471804,0.016449,7.105734,0.013994,0.067562,1176432.000000,13.108293,42.221585,-0.202660
5,7,35,26,39,-289.316667,0.966556,2.527192,0.014420,2.242186,0.017890,1.617909,0.020985,7.673884,0.016805,0.079706,1243124.000000,13.306271,42.350011,-0.183516
5,7,35,26,40,-284.316667,0.980648,2.725046,0.015429,2.465934,0.016148,1.811318,0.016365,8.395309,0.014850,0.068830,1340501.000000,13.557352,42.371314,-0.157585
5,7,35,26,41,-279.316667,0.963323,2.947633,0.016438,2.640373,0.015508,1.914323,0.014024,8.920621,0.014076,0.065595,1419901.000000,13.892527,42.348200,-0.137551
5,7,35,26,42,-274.316667,0.957137,3.209587,0.017080,2.875415,0.017719,2.079779,0.017892,9.651016,0.016504,0.076587,1581026.000000,14.299075,42.347997,-0.124871
5,7,35,26,43,-269.316667,0.957291,3.495842,0.018242,3.149876,0.020183,2.286442,0.021710,10.513460,0.019088,0.087772,1710792.000000,14.680877,42.394798,-0.110426
5,7,35,26,44,-264.316667,0.964527,3.847290,0.018270,3.511170,0.020580,2.576169,0.022493,11.657874,0.019633,0.088846,1899558.000000,15.160235,42.374172,-0.101581
5,7,36,30,35,-309.316667,0.960070,1.882010,0.014841,1.609055,0.009311,1.130766,0.003040,5.676421,0.006656,0.033411,752946.000000,16.140456,42.249416,0.072763
5,7,36,30,36,-304.316667,0.923493,2.021661,0.015551,1.683969,0.015492,1.147955,0.014710,5.865320,0.013475,0.068847,815146.000000,16.714110,42.336930,0.026102
5,7,36,30,37,-299.316667,0.937184,2.196399,0.015570,1.869942,0.020131,1.299635,0.024271,6.466749,0.018893,0.094006,896234.000000,17.402402,42.201690,-0.036762
5,7,36,30,38,-294.316667,0.954412,2.363634,0.015163,2.060400,0.019722,1.463392,0.023880,7.087060,0.018609,0.090121,1214441.000000,17.701636,42.216753,-0.088723
5,7,36,30,39,-289.316667,0.970029,2.554796,0.015900,2.276296,0.022387,1.649101,0.028668,7.785579,0.021444,0.101238,1176457.000000,18.229775,42.396528,-0.091357
5,7,36,30,40,-284.316667,1.006302,2.769849,0.014916,2.569990,0.019223,1.936161,0.023042,8.756578,0.018282,0.082684,1471028.000000,18.997725,42.349649,-0.115603
5,7,36,30,41,-279.316667,1.006689,2.967953,0.014605,2.770324,0.017588,2.095227,0.020240,9.386472,0.016577,0.074265,1549276.000000,19.746253,42.321182,-0.112719
5,7,36,30,42,-274.316667,1.024750,3.203322,0.015735,3.057247,0.018426,2.360237,0.020687,10.312603,0.017405,0.076048,1767444.000000,20.630806,42.293714,-0.094628
5,7,36,30,43,-269.316667,1.025097,3.472010,0.016149,3.333638,0.019215,2.583492,0.021960,11.181389,0.018246,0.078968,1974405.000000,21.645583,42.366070,-0.083331
5,7,36,30,44,-264.316667,1.044625,3.764029,0.016299,3.697817,0.019879,2.927560,0.023100,12.352739,0.019027,0.080282,2113228.000000,22.833151,42.369305,-0.077363
5,7,36,30,45,-259.316667,1.054279,4.085520,0.016308,4.068745,0.019040,3.259761,0.021442,13.531706,0.018194,0.075524,2415614.000000,24.113293,42.458439,-0.067958
5,7,36,30,46,-254.316667,1.064413,4.430281,0.016628,4.472509,0.019052,3.626506,0.021147,14.814643,0.018237,0.074501,2891799.000000,25.569395,42.425582,-0.063427
5,7,36,30,47,-249.316667,1.071560,4.822207,0.016255,4.920869,0.018223,4.026672,0.019876,16.233501,0.017481,0.070473,3312179.000000,26.725241,42.456900,-0.052126
5,7,42,35,45,-259.316667,1.029151,2.182951,0.013473,2.019290,0.006021,1.530531,-0.001998,7.057856,0.003580,0.016508,1114278.000000,14.703751,42.540186,-0.053328
5,7,42,35,46,-254.316667,0.981457,2.330003,0.014203,2.080081,0.007542,1.515239,0.000036,7.184188,0.005236,0.024826,1203366.000000,15.099461,42.536040,-0.065026
5,7,42,35,47,-249.316667,0.941306,2.513878,0.015826,2.176178,0.012275,1.531071,0.007928,7.434037,0.010367,0.050336,1192588.000000,15.326318,42.507997,-0.183090
5,7,42,35,48,-244.316667,0.928244,2.727855,0.016642,2.347207,0.014949,1.636627,0.012679,7.954876,0.013390,0.065082,1270510.000000,15.716910,42.517283,-0.155291
5,7,42,35,49,-239.316667,0.911558,2.967857,0.017792,2.527052,0.019237,1.738574,0.020224,8.499179,0.017948,0.087741,1376032.000000,16.139885,42.529009,-0.144939
5,7,42,35,50,-234.316667,0.926835,3.255896,0.017693,2.833330,0.021620,1.988235,0.025114,9.480316,0.020698,0.098694,1503022.000000,16.888426,42.498946,-0.114461
5,7,43,35,45,-259.316667,0.915129,2.207055,0.016760,1.840020,0.017019,1.251031,0.016639,6.345201,0.015259,0.077395,967825.000000,16.696259,42.347463,-0.063753
5,7,43,35,46,-254.316667,0.908794,2.392007,0.016334,1.996600,0.016360,1.355110,0.015806,6.829322,0.014776,0.074464,1033770.000000,17.326963,42.358659,-0.081938
5,7,43,35,47,-249.316667,0.901132,2.597773,0.017225,2.166672,0.018552,1.465220,0.019365,7.354271,0.017139,0.086023,1206344.000000,17.588182,42.491180,-0.171254
5,7,43,35,48,-244.316667,0.906878,2.839466,0.017596,2.398554,0.021286,1.638843,0.024593,8.089753,0.020167,0.099547,1317897.000000,18.242651,42.488956,-0.136131
5,7,43,35,49,-239.316667,0.923432,3.097398,0.018057,2.677239,0.022537,1.868269,0.026635,8.985694,0.021538,0.103592,1433767.000000,18.883977,42.500244,-0.126974
5,7,43,35,50,-234.316667,0.938901,3.398756,0.018966,3.001917,0.025818,2.136465,0.032516,10.025124,0.024977,0.117202,1666608.000000,20.024558,42.489042,-0.094811
5,7,43,35,51,-229.316667,0.977359,3.742003,0.018346,3.452285,0.026091,2.562969,0.033282,11.489682,0.025493,0.114286,1849048.000000,21.209668,42.582967,-0.046344
5,7,64,57,73,-119.316667,0.714085,3.031149,0.018861,2.055067,0.033052,1.118610,0.048014,6.799966,0.032701,0.198785,1237352.000000,11.475413,42.665085,0.014021
5,7,64,57,74,-114.316667,0.759240,3.316996,0.016496,2.394691,0.025688,1.387156,0.034509,7.911779,0.025305,0.144331,1278643.000000,11.861749,42.648149,0.019356
5,7,64,57,75,-109.316667,0.782985,3.578335,0.015182,2.670217,0.021824,1.597300,0.028310,8.802057,0.021379,0.117812,1841565.000000,11.665183,42.689849,0.066981
5,7,64,57,76,-104.316667,0.807561,3.860265,0.013354,2.977444,0.016737,1.839352,0.019833,9.793593,0.016262,0.086588,1843543.000000,11.932617,42.763127,0.031598
5,7,64,57,77,-99.316667,0.808223,4.093850,0.011412,3.168560,0.012063,1.962095,0.012511,10.394722,0.011566,0.061274,1950736.000000,12.040134,42.750128,0.023115
5,7,70,65,81,-79.316667,0.863561,4.496378,0.023312,3.722859,0.020183,2.464935,0.016634,12.198476,0.019039,0.094221,1979902.000000,16.836085,48.892420,-0.034181
5,7,70,65,82,-74.316667,0.847038,5.020475,0.020878,4.098560,0.018333,2.669945,0.015357,13.359721,0.017384,0.086986,2196168.000000,17.355644,48.933509,-0.007324
