fov,line,cellID,parentID,frame0,frame1,t0Trans,t1Trans,divT,w0,w1,meanw,L0,L1,expfitBL0,expfitBL1,expfitBL2,area0,area1,expfitBarea0,expfitBarea1,expfitBarea2,V0,V1,expfitBV0,expfitBV1,expfitBV2,SA0,SA1,expfitBSA0,expfitBSA1,expfitBSA2,meanbeta2SA_V_4_0,Itot0,Itot1,xCM0,yCM0,xCM1,yCM1,orientation0,orientation1
0,1,118,104,83.000000,90.000000,-74.900000,-39.900000,40.000601,0.770404,0.878035,0.841780,2.293336,3.831966,2.206642,3.942883,0.014511,1.639424,3.199154,1.615667,3.354719,0.018266,0.949333,2.143036,0.959710,2.288922,0.021730,5.550551,10.570204,5.491355,11.066495,0.017519,0.095747,348250.000000,671532.000000,25.213062,16.254708,29.804614,16.570396,-0.122754,-0.111092
0,1,119,107,88.000000,97.000000,-49.900000,-4.900000,50.000601,0.886667,0.896174,0.877091,2.026415,3.749408,1.972417,3.836963,0.013308,1.628039,3.187769,1.550074,3.249638,0.014805,1.068741,2.176605,0.994687,2.206842,0.015938,5.644671,10.556134,5.362015,10.712660,0.013842,0.071848,413135.000000,674503.000000,21.416854,16.563869,24.413722,16.479053,-0.146745,-0.041642
0,1,120,107,88.000000,96.000000,-49.900000,-9.900000,45.000601,0.793346,0.921380,0.873079,2.136268,3.855208,2.051099,3.953339,0.014582,1.559730,3.369927,1.526256,3.522491,0.018586,0.925293,2.365708,0.924189,2.518960,0.022282,5.324371,11.159288,5.230121,11.642291,0.017782,0.095472,380793.000000,709048.000000,23.210755,16.375724,27.540496,16.426032,-0.151865,-0.025042
0,1,122,106,92.000000,102.000000,-29.900000,20.100000,55.000601,0.818386,0.801012,0.796783,2.484919,4.378987,2.411049,4.415104,0.010999,1.889892,3.369927,1.823587,3.318887,0.010888,1.163632,2.072139,1.116633,1.990803,0.010513,6.388813,11.019514,6.163675,10.814883,0.010223,0.056093,416316.000000,702505.000000,18.477098,16.469723,19.384434,16.446940,0.048154,-0.051233
0,1,123,106,92.000000,103.000000,-29.900000,25.083333,59.983934,0.818635,0.810031,0.818533,2.275662,4.123256,2.286559,4.281591,0.010455,1.719118,3.199154,1.726174,3.377759,0.011188,1.054155,1.985729,1.056876,2.129220,0.011674,5.852588,10.492810,5.862223,11.042021,0.010553,0.056280,401919.000000,696549.000000,20.663056,16.325807,23.453875,16.489517,-0.137076,-0.123624
0,1,131,122,103.000000,112.000000,25.083333,70.100000,50.017268,0.835981,0.980583,0.894485,2.412853,4.552696,2.313363,4.612395,0.013801,1.867122,4.257949,1.801849,4.183689,0.016848,1.171430,3.191328,1.138978,3.036458,0.019611,6.336905,14.025006,6.129755,13.724382,0.016120,0.086603,386219.000000,853535.000000,18.546282,16.476692,19.675879,16.500271,0.081308,-0.017900
0,1,132,122,103.000000,115.000000,25.083333,85.100000,65.017268,0.793362,0.958798,0.899020,2.451936,5.394752,2.341447,5.464479,0.013038,1.810198,4.975197,1.762061,5.224156,0.016720,1.081377,3.664321,1.074154,3.987946,0.020181,6.111255,16.249823,5.964152,17.051295,0.016161,0.079590,391442.000000,1052417.000000,20.760867,16.380799,25.651461,16.585135,-0.128980,-0.033771
0,1,135,123,104.000000,114.000000,30.100000,80.100000,55.000601,0.850854,1.036584,0.928452,2.189676,4.494874,2.036218,4.555915,0.014642,1.707734,4.428722,1.554629,4.467235,0.019192,1.083768,3.501695,0.966841,3.511359,0.023450,5.853086,14.637664,5.341503,14.720089,0.018431,0.086022,371749.000000,1023712.000000,22.994561,16.579757,29.540814,16.635874,-0.079369,-0.058277
0,1,137,133,104.000000,107.000000,30.100000,45.083333,19.983934,0.927288,0.936314,0.937520,3.452565,4.444517,3.298013,4.629936,0.016961,3.016996,3.973327,2.895029,4.168723,0.018231,2.122897,2.845357,2.048575,3.004105,0.019142,10.057885,13.073627,9.677758,13.686998,0.017331,0.080961,708025.000000,926306.000000,27.269299,16.566282,29.563849,16.633888,-0.133757,-0.084444
0,1,142,131,113.000000,119.000000,75.100000,105.100000,35.000601,1.008942,1.030186,1.010639,2.574875,4.652651,2.423642,4.797349,0.019508,2.379442,4.565341,2.196801,4.727478,0.021897,1.789744,3.591891,1.621639,3.730332,0.023802,8.161540,15.057949,7.543711,15.533866,0.020637,0.089922,482956.000000,1040897.000000,18.690368,16.495105,19.704377,16.458675,0.034325,0.044228
0,1,143,131,113.000000,119.000000,75.100000,105.100000,35.000601,1.028453,1.039546,1.040061,2.423622,4.592854,2.273812,4.766739,0.021149,2.265593,4.542571,2.070100,4.905597,0.024651,1.728581,3.604058,1.538695,4.046699,0.027628,7.830673,14.999477,7.157232,16.159412,0.023268,0.099783,481811.000000,1110367.000000,21.092284,16.484882,24.168486,16.578880,-0.052513,-0.035290
0,1,146,132,116.000000,121.000000,90.100000,115.100000,30.000601,1.038490,1.019795,1.012973,2.974556,4.717901,2.852907,4.892107,0.017976,2.857607,4.588111,2.708947,4.680642,0.018229,2.226306,3.575926,2.086753,3.583012,0.018020,9.704528,15.115122,9.206341,15.351136,0.017043,0.074107,619462.000000,1034186.000000,25.246240,16.613318,31.299108,16.647583,-0.040377,0.062638
0,1,148,142,120.000000,126.000000,110.100000,140.100000,35.000601,1.050013,1.020584,1.018672,2.762507,5.194270,2.626634,5.447922,0.020844,2.664064,5.077661,2.520609,5.209297,0.020741,2.089042,3.970944,1.967792,3.974963,0.020089,9.112719,16.654174,8.629744,16.972023,0.019324,0.084053,593774.000000,1250722.000000,18.871309,16.409001,20.019408,16.449264,0.033632,0.019174
0,1,149,142,120.000000,125.000000,110.100000,135.100000,30.000601,1.097757,1.084687,1.078162,2.527582,4.378700,2.432906,4.667545,0.021718,2.516061,4.497032,2.424496,4.706914,0.022114,2.045928,3.712066,1.974779,3.803608,0.021850,8.716886,14.921059,8.409126,15.490375,0.020363,0.085359,607081.000000,1140077.000000,21.384901,16.486357,24.133109,16.540661,-0.006185,0.005229
0,1,150,143,120.000000,125.000000,110.100000,135.100000,30.000601,1.146486,1.057772,1.105308,2.539926,4.478419,2.404189,4.764227,0.022797,2.629910,4.497032,2.544715,4.728671,0.020654,2.227569,3.625643,2.207139,3.756875,0.017730,9.148282,14.882182,8.889097,15.516662,0.018570,0.076210,653124.000000,1101009.000000,23.926667,16.572219,28.538333,16.638987,-0.064109,-0.033464
0,1,158,148,127.000000,131.000000,145.100000,165.100000,25.000601,1.027705,1.037753,1.038688,2.890340,4.018569,2.754203,4.172213,0.016613,2.743758,3.939172,2.599634,4.158234,0.018789,2.113426,3.106403,1.993138,3.331397,0.020547,9.331837,13.101332,8.865619,13.800134,0.017700,0.076517,674574.000000,1139391.000000,18.905380,16.496440,23.022529,16.575814,0.039960,0.083220
0,1,159,148,127.000000,130.000000,145.100000,160.100000,20.000601,1.101012,1.114419,1.106356,2.811035,3.661513,2.704447,3.749666,0.016338,2.834838,3.813938,2.695317,3.941499,0.019002,2.326917,3.209134,2.188078,3.344731,0.021218,9.723179,12.819138,9.262793,13.224807,0.017804,0.073282,734511.000000,1001354.000000,21.670384,16.540643,26.069517,16.625453,-0.021972,-0.029067
0,1,171,168,139.000000,145.000000,205.100000,235.100000,35.000601,1.061445,1.108812,1.085476,2.726908,5.423116,2.570587,5.644984,0.022475,2.652679,5.749369,2.502828,6.001233,0.024987,2.099906,4.879764,1.984950,5.098684,0.026954,9.093227,18.891071,8.598190,19.622592,0.023575,0.096658,583127.000000,1256932.000000,23.537196,16.504612,30.231385,16.623015,-0.019985,0.010387
0,1,182,181,154.000000,156.000000,280.100000,290.100000,15.000601,1.072861,1.080936,1.050892,4.209630,5.371802,3.953881,5.699513,0.024379,4.269334,5.555826,3.898983,5.788075,0.026339,3.482283,4.598925,3.094131,4.696744,0.027824,14.188522,18.241883,12.977464,18.927066,0.025159,0.104388,991468.000000,1332706.000000,26.513385,16.620161,28.959648,16.637329,-0.002029,-0.011452
0,1,184,180,157.000000,162.000000,295.100000,320.100000,30.000601,0.985664,1.034655,1.027155,2.833483,4.414397,2.622447,4.618319,0.018864,2.584370,4.337643,2.431069,4.603243,0.021281,1.911363,3.421551,1.832080,3.678838,0.023238,8.774038,14.348837,8.307869,15.177997,0.020088,0.087591,613171.000000,1033501.000000,23.615953,16.550251,24.032705,16.596751,0.084241,0.044503
0,1,185,180,157.000000,162.000000,295.100000,320.100000,30.000601,1.158801,1.045431,1.071751,2.685210,4.896223,2.540103,5.281944,0.024403,2.823453,4.884118,2.578499,5.223235,0.023530,2.424576,3.903701,2.136742,4.125396,0.021929,9.775456,16.080750,8.912487,17.048305,0.021620,0.090158,669592.000000,1185583.000000,26.192269,16.541942,28.512777,16.608390,-0.016296,0.065504
0,2,28,20,26.000000,32.000000,-359.900000,-329.900000,35.000601,0.955243,0.934964,0.971336,2.147682,3.123081,2.089453,3.257428,0.012687,1.855737,2.732374,1.874270,2.893654,0.012409,1.310977,1.930220,1.377390,2.072836,0.011678,6.445163,9.173355,6.545110,9.678327,0.011176,0.054646,476464.000000,667739.000000,17.423521,22.405036,18.093653,22.438121,0.057797,-0.035531
0,2,29,20,26.000000,37.000000,-359.900000,-304.900000,60.000601,1.028253,1.044335,1.060364,1.859332,3.799832,1.899901,4.001020,0.012412,1.684964,3.734244,1.726877,4.147355,0.014603,1.259375,2.956684,1.291877,3.459752,0.016418,6.006295,12.466770,6.112083,13.791367,0.013563,0.059872,449379.000000,1010338.000000,19.344422,22.364464,22.653256,22.565098,-0.077372,-0.056704
0,2,30,21,28.000000,34.000000,-349.900000,-319.916667,34.983934,1.025191,0.973514,0.980754,2.141198,3.319690,2.060679,3.460824,0.014813,1.969586,3.028381,1.898028,3.055050,0.013599,1.485399,2.229452,1.434630,2.169835,0.011821,6.896223,10.152890,6.659778,10.155820,0.012056,0.056877,521254.000000,749564.000000,22.044960,22.566742,24.778468,22.526937,-0.019318,-0.041670
0,2,31,21,28.000000,36.000000,-349.900000,-309.900000,45.000601,0.908195,0.980320,0.972145,2.250761,4.007975,2.113254,4.059236,0.014506,1.867122,3.722859,1.817131,3.836163,0.016605,1.261954,2.778530,1.276675,2.911527,0.018320,6.421822,12.343623,6.296265,12.698629,0.015590,0.078123,472975.000000,895901.000000,24.041982,22.448639,29.822161,22.648788,-0.008100,-0.050936
0,2,34,28,33.000000,43.000000,-324.900000,-274.900000,55.000601,0.907436,0.945993,0.936515,1.750468,3.560737,1.691033,3.611628,0.013797,1.411726,3.176384,1.384924,3.250113,0.015510,0.936456,2.281050,0.933727,2.351404,0.016792,4.990226,10.582242,4.903492,10.780595,0.014324,0.072394,329965.000000,751282.000000,17.428240,22.496490,18.299624,22.386731,0.113789,-0.042463
0,2,35,28,33.000000,44.000000,-324.900000,-269.900000,60.000601,1.014153,0.905117,0.973964,1.677020,3.653290,1.607755,3.765189,0.014183,1.480036,3.130845,1.468185,3.240744,0.013196,1.081602,2.156500,1.111456,2.235647,0.011648,5.343080,10.388161,5.307531,10.655321,0.011616,0.059472,369590.000000,779478.000000,19.017223,22.409462,21.977096,22.432608,-0.080308,-0.043684
0,2,36,30,35.000000,42.000000,-314.900000,-279.900000,40.000601,0.975091,0.935191,0.972517,1.843858,3.560682,1.747488,3.690658,0.018691,1.593885,3.142230,1.522298,3.358902,0.019785,1.134197,2.231688,1.092983,2.456821,0.020249,5.648359,10.461241,5.408040,11.130627,0.018045,0.084582,389847.000000,795019.000000,24.489174,22.583055,29.883732,22.580581,-0.059726,-0.028984
0,2,42,29,38.000000,45.000000,-299.900000,-264.916667,39.983934,1.124481,1.099672,1.087740,2.023240,3.631772,1.943551,3.729943,0.016297,2.003741,3.734244,1.885417,3.778937,0.017382,1.637044,3.101186,1.508461,3.085040,0.017887,7.147424,12.546758,6.713607,12.606388,0.015752,0.066898,554919.000000,971937.000000,22.077200,22.549469,26.084246,22.490929,-0.149064,-0.049012
