fov,line,cellID,parentID,frame,tTrans,w,L,growthRateL2_0,area,growthRatearea2_0,V,growthRateV2_0,SA,growthRateSA2_0,beta2SA_V_2_0,Itot,xCM,yCM,orientation
35,1,48,40,43,-234.000000,1.067054,2.278063,0.021593,2.186470,0.024788,1.719101,0.027202,7.636634,0.022445,0.099731,1232238.000000,21.785794,4.849543,-0.096963
35,1,48,40,44,-226.866667,1.072676,2.628953,0.019428,2.573088,0.021547,2.052674,0.022999,8.859342,0.019720,0.085033,1361338.000000,22.786481,4.768098,-0.089040
35,1,48,40,45,-219.750000,1.072323,3.005885,0.018861,2.976516,0.020514,2.391841,0.021589,10.126238,0.018955,0.080175,1659313.000000,23.659531,4.561823,-0.104503
35,1,48,40,46,-212.616667,1.073847,3.436861,0.018246,3.443196,0.019279,2.788509,0.019802,11.594561,0.017956,0.074764,1876134.000000,24.633783,4.475333,-0.135102
35,1,48,40,47,-205.466667,1.068754,3.901563,0.016658,3.924684,0.017158,3.180530,0.017239,13.099842,0.016071,0.066363,2098286.000000,25.796801,4.398992,-0.118316
