fov,line,cellID,parentID,frame,tTrans,w,L,growthRateL2_0,area,growthRatearea2_0,V,growthRateV2_0,SA,growthRateSA2_0,beta2SA_V_2_0,Itot,xCM,yCM,orientation
35,6,60,55,46,-212.616667,0.941224,2.030457,0.009940,1.720999,0.008599,1.194468,0.006799,6.003945,0.007248,0.036491,799502.000000,16.005000,42.995916,-0.056736
35,6,60,55,47,-205.466667,0.924309,2.174765,0.010148,1.826810,0.008965,1.252534,0.007331,6.315085,0.007701,0.038847,920473.000000,16.046038,43.064394,-0.210312
35,6,60,55,48,-198.333333,0.909000,2.345691,0.011468,1.954911,0.010524,1.325623,0.009126,6.698604,0.009286,0.046891,980514.000000,16.394985,43.037539,-0.185475
35,6,60,55,49,-191.200000,0.896075,2.558528,0.011662,2.120317,0.010936,1.425132,0.009789,7.202516,0.009808,0.049534,1020024.000000,16.755916,43.046566,-0.151275
35,6,68,59,50,-184.066667,0.790885,1.820418,0.004868,1.305509,0.010996,0.764798,0.017430,4.523083,0.011122,0.065790,622121.000000,13.428004,43.193494,-0.058118
35,6,68,59,51,-176.933333,0.824989,1.883627,0.006192,1.407911,0.010704,0.859888,0.015073,4.881942,0.010504,0.059643,729563.000000,13.509862,43.261925,-0.028103
35,6,68,59,52,-169.800000,0.841851,1.986820,0.013321,1.520515,0.017793,0.949709,0.021958,5.254646,0.016771,0.092806,778486.000000,13.371709,43.112502,-0.146217
35,6,68,59,53,-162.666667,0.864207,2.261221,0.019625,1.793887,0.024466,1.157407,0.028779,6.139184,0.023009,0.122068,855799.000000,13.404093,43.105287,-0.173372
35,6,68,59,54,-155.533333,0.883268,2.619918,0.025082,2.146666,0.030357,1.424920,0.035046,7.269929,0.028649,0.146022,928197.000000,13.529965,43.102748,-0.139522
35,6,68,59,55,-148.416667,0.906580,3.197616,0.034563,2.722516,0.042418,1.869020,0.049762,9.107145,0.040475,0.197255,1509501.000000,14.175262,36.807749,-0.012041
35,6,68,59,56,-141.266667,0.950286,4.196670,0.033295,3.794241,0.039505,2.751818,0.044868,12.528783,0.038196,0.174339,1825125.000000,14.309841,36.756310,-0.035385
35,6,69,59,50,-184.066667,0.776153,1.656616,0.011757,1.156509,0.020415,0.661394,0.029384,4.039422,0.019917,0.121652,576546.000000,15.048765,43.032618,-0.073615
35,6,69,59,51,-176.933333,0.817835,1.795554,0.011595,1.324929,0.019348,0.800027,0.026983,4.613323,0.018871,0.108829,626869.000000,15.351095,43.045129,-0.192254
35,6,69,59,52,-169.800000,0.860513,1.953649,0.018401,1.522231,0.022761,0.969373,0.026383,5.281456,0.021185,0.115434,850658.000000,15.149854,43.053450,-0.236444
35,6,69,59,53,-162.666667,0.856250,2.308415,0.023826,1.819243,0.026537,1.164896,0.028534,6.209613,0.024500,0.130608,976366.000000,15.285477,43.034497,-0.267882
35,6,69,59,54,-155.533333,0.866227,2.738321,0.023645,2.210981,0.025392,1.443592,0.026468,7.451879,0.023707,0.122242,1119373.000000,15.642340,42.985114,-0.210103
35,6,69,59,55,-148.416667,0.859740,3.231087,0.026950,2.619270,0.026325,1.709372,0.025027,8.727010,0.024586,0.125530,1492126.000000,17.410856,36.556837,0.044092
