fov,line,cellID,parentID,frame,tTrans,w,L,growthRateL2_0,area,growthRatearea2_0,V,growthRateV2_0,SA,growthRateSA2_0,beta2SA_V_2_0,Itot,xCM,yCM,orientation
5,8,33,16,29,-399.333333,0.969542,1.869468,0.009893,1.610799,0.000948,1.141598,-0.008415,5.694222,-0.001511,-0.007535,278899.000000,18.421716,44.889547,0.056940
5,8,33,16,30,-394.333333,0.916864,1.961944,0.009115,1.618434,0.002204,1.093566,-0.005546,5.651213,0.000136,0.000701,301955.000000,18.482967,44.814702,0.065519
5,8,33,16,31,-389.333333,0.886081,2.048307,0.009355,1.646474,0.006358,1.080950,0.002784,5.701884,0.004917,0.025935,277105.000000,18.408437,44.691180,-0.129534
5,8,33,16,32,-384.333333,0.876721,2.153563,0.009873,1.723123,0.008116,1.123660,0.005937,5.931562,0.006897,0.036406,289926.000000,18.409912,44.702003,-0.148519
5,8,33,16,33,-379.333333,0.860348,2.260921,0.010854,1.786331,0.011301,1.147667,0.011370,6.110960,0.010252,0.054586,331315.000000,18.426057,44.696286,-0.130875
5,8,33,16,34,-374.333333,0.870163,2.398960,0.012716,1.924993,0.016409,1.254147,0.019814,6.558032,0.015569,0.081411,377487.000000,18.440490,44.792288,-0.099059
5,8,33,16,35,-369.333333,0.884723,2.565976,0.013335,2.102201,0.016548,1.396158,0.019412,7.131972,0.015677,0.080083,403070.000000,18.504242,44.697334,-0.111018
5,8,33,16,36,-364.333333,0.891380,2.741128,0.013427,2.272872,0.014841,1.525165,0.015877,7.676122,0.013876,0.069839,443350.000000,18.592211,44.746388,-0.107836
5,8,33,16,37,-359.333333,0.889303,2.934016,0.012670,2.439510,0.013809,1.638308,0.014619,8.197137,0.012940,0.064744,476054.000000,18.627189,44.653219,-0.092502
5,8,33,16,38,-354.333333,0.893390,3.112881,0.011984,2.609734,0.010962,1.764671,0.009624,8.736826,0.010075,0.049880,517336.000000,18.735868,44.691458,-0.066511
5,8,33,16,39,-349.333333,0.873710,3.307060,0.011963,2.725591,0.009512,1.808133,0.006672,9.077355,0.008580,0.043075,544915.000000,18.816218,44.668975,-0.061594
5,8,33,16,40,-344.333333,0.863314,3.508497,0.011942,2.868991,0.009576,1.885305,0.006898,9.515685,0.008739,0.044109,559628.000000,18.898035,44.596416,-0.065247
5,8,33,16,41,-339.333333,0.846504,3.726047,0.012969,3.000338,0.009360,1.938189,0.005416,9.908945,0.008472,0.043312,547429.000000,18.967094,44.673292,0.043622
5,8,33,16,42,-334.333333,0.825744,3.991726,0.013311,3.149818,0.009491,1.990272,0.005234,10.355144,0.008618,0.044838,591863.000000,19.042745,44.737840,0.044005
5,8,34,16,29,-399.333333,0.968233,2.037956,0.012248,1.772032,0.005835,1.262895,-0.001138,6.199040,0.003615,0.017742,317637.000000,20.273000,44.905762,-0.061055
5,8,34,16,30,-394.333333,0.928849,2.162760,0.011814,1.823727,0.007403,1.255709,0.002254,6.311074,0.005529,0.027789,352677.000000,20.508733,44.778640,-0.128614
5,8,34,16,31,-389.333333,0.908797,2.293462,0.012657,1.907049,0.010292,1.291196,0.007357,6.547992,0.008749,0.044367,340760.000000,20.258143,44.741741,-0.285917
5,8,34,16,32,-384.333333,0.893266,2.453051,0.013062,2.019991,0.009960,1.350698,0.006349,6.883943,0.008480,0.043219,372799.000000,20.367365,44.751707,-0.230025
5,8,34,16,33,-379.333333,0.868485,2.613869,0.014163,2.108238,0.012906,1.376956,0.011109,7.131746,0.011587,0.060011,402650.000000,20.532047,44.841959,-0.040831
5,8,34,16,34,-374.333333,0.869304,2.823244,0.014999,2.292084,0.016342,1.503660,0.017288,7.710274,0.015301,0.078461,437679.000000,20.769155,44.928703,-0.020981
5,8,34,16,35,-369.333333,0.871044,3.037323,0.014640,2.482820,0.014903,1.636911,0.014779,8.311531,0.013906,0.070609,472149.000000,20.993350,44.817006,-0.047705
5,8,34,16,36,-364.333333,0.863603,3.267895,0.014595,2.662111,0.015541,1.745573,0.016149,8.866086,0.014653,0.074423,515621.000000,21.237746,44.882910,-0.035663
5,8,34,16,37,-359.333333,0.870494,3.514282,0.014200,2.896544,0.016608,1.918810,0.018740,9.610635,0.015906,0.079665,542364.000000,21.532722,44.782155,-0.019388
5,8,34,16,38,-354.333333,0.878362,3.766940,0.013703,3.143168,0.016245,2.105164,0.018542,10.394706,0.015623,0.077143,556558.000000,21.931480,44.795076,-0.019126
5,8,34,16,39,-349.333333,0.887263,4.030470,0.013077,3.407146,0.015496,2.309152,0.017668,11.234612,0.014952,0.072746,623277.000000,22.243976,44.756277,-0.015303
5,8,35,22,29,-399.333333,0.829806,2.256602,0.013445,1.724771,0.018621,1.070799,0.023611,5.882762,0.017803,0.097805,278692.000000,22.351907,44.752630,0.074270
5,8,35,22,30,-394.333333,0.846746,2.408305,0.014541,1.885358,0.017892,1.197212,0.020836,6.406408,0.016910,0.090490,282569.000000,22.743566,44.724425,0.103228
5,8,35,22,31,-389.333333,0.850618,2.606789,0.016481,2.062108,0.017626,1.320248,0.018293,6.966114,0.016390,0.086477,361749.000000,22.343097,44.728405,-0.183824
5,8,35,22,32,-384.333333,0.846616,2.837935,0.017621,2.248824,0.017801,1.438725,0.017487,7.548121,0.016523,0.086685,398222.000000,22.653843,44.744990,-0.143992
5,8,35,22,33,-379.333333,0.841480,3.106867,0.018119,2.462411,0.017515,1.571837,0.016438,8.213279,0.016292,0.085131,434339.000000,22.995091,44.691915,0.135726
5,8,35,22,34,-374.333333,0.831727,3.400854,0.019039,2.680126,0.017385,1.697103,0.015263,8.886248,0.016181,0.084724,470373.000000,23.411608,44.757485,0.122310
5,8,35,22,35,-369.333333,0.818264,3.754351,0.018344,2.928362,0.018058,1.830860,0.017368,9.651130,0.017077,0.090020,506115.000000,23.924232,44.672152,0.124584
5,8,35,22,36,-364.333333,0.819944,4.089548,0.017086,3.208923,0.019197,2.015085,0.021036,10.534393,0.018485,0.096635,555425.000000,24.419331,44.729945,0.085727
5,8,35,22,37,-359.333333,0.829060,4.453100,0.016328,3.544383,0.018929,2.254759,0.021259,11.598408,0.018348,0.094380,598772.000000,25.001208,44.614236,0.076265
5,8,39,35,38,-354.333333,0.823548,2.458584,0.016779,1.879212,0.024360,1.163413,0.031875,6.360978,0.023516,0.128576,342336.000000,24.713603,44.616919,0.112219
5,8,39,35,39,-349.333333,0.849144,2.664844,0.017938,2.108099,0.022866,1.348830,0.027329,7.108912,0.021849,0.115155,348113.000000,25.214125,44.595113,0.146333
5,8,39,35,40,-344.333333,0.857854,2.936599,0.018814,2.361246,0.022223,1.532037,0.025215,7.914221,0.021116,0.109080,430599.000000,25.886413,44.564372,0.169585
5,8,39,35,41,-339.333333,0.868664,3.217327,0.019000,2.632843,0.023426,1.735127,0.027516,8.780051,0.022459,0.113644,487883.000000,25.899678,44.565655,0.182741
5,8,39,35,42,-334.333333,0.886964,3.547878,0.019728,2.978012,0.021953,2.009474,0.023719,9.886090,0.020929,0.102967,555056.000000,26.601287,44.570463,0.154196
5,8,39,35,43,-329.333333,0.881588,3.917238,0.019159,3.286603,0.020707,2.211744,0.021892,10.849148,0.019749,0.096876,609831.000000,27.265674,44.496813,0.140311
5,8,39,35,44,-324.333333,0.890771,4.298370,0.018649,3.658584,0.020027,2.493672,0.021051,12.028735,0.019196,0.092595,652609.000000,28.110181,44.477434,0.107284
5,8,39,35,45,-319.333333,0.887584,4.718846,0.017821,4.019310,0.017950,2.736684,0.017760,13.158166,0.017167,0.082540,704558.000000,28.778384,44.471469,0.094980
5,8,40,35,38,-354.333333,0.796657,2.513193,0.019284,1.865953,0.031822,1.120364,0.044813,6.289946,0.031172,0.175007,321488.000000,26.958887,44.666560,0.103575
5,8,40,35,39,-349.333333,0.839846,2.755517,0.020908,2.162842,0.027352,1.371399,0.033143,7.270302,0.026301,0.139430,355867.000000,27.698298,44.606276,-0.098593
5,8,40,35,40,-344.333333,0.845105,3.089326,0.022155,2.457537,0.025870,1.574891,0.029139,8.202089,0.024628,0.128263,439025.000000,28.602777,44.549403,-0.123951
5,8,40,35,41,-339.333333,0.859662,3.439948,0.021626,2.798599,0.025227,1.830307,0.028381,9.290298,0.024152,0.122590,510182.000000,28.761198,44.543409,0.116340
5,8,40,35,42,-334.333333,0.867412,3.833265,0.021183,3.163552,0.022013,2.094353,0.022399,10.445856,0.020940,0.104439,560776.000000,29.838596,44.567527,0.091970
5,8,40,35,43,-329.333333,0.859237,4.251958,0.018920,3.495000,0.020167,2.299421,0.021085,11.477615,0.019309,0.096380,631191.000000,30.873105,44.512471,0.086035
5,8,40,35,44,-324.333333,0.869058,4.637727,0.016197,3.868374,0.018341,2.579178,0.020221,12.662047,0.017731,0.087045,653520.000000,32.193881,44.480370,0.042200
5,8,40,35,45,-319.333333,0.873063,5.003143,0.014607,4.204482,0.015988,2.820966,0.017142,13.722666,0.015458,0.075196,689257.000000,33.260163,44.498261,0.051970
5,8,44,34,40,-344.333333,0.916682,2.283271,0.016326,1.912703,0.004023,1.305239,-0.008502,6.575460,0.001377,0.006939,351722.000000,21.572857,44.711694,-0.094568
5,8,44,34,41,-339.333333,0.853338,2.469652,0.013694,1.951178,0.007550,1.249754,0.000357,6.620743,0.005690,0.030144,347822.000000,21.608678,44.566533,0.219953
5,8,44,34,42,-334.333333,0.844163,2.621472,0.012487,2.060021,0.011050,1.309705,0.009196,6.952184,0.009939,0.052759,367214.000000,21.869207,44.592015,0.204407
5,8,44,34,43,-329.333333,0.832106,2.796994,0.011799,2.178805,0.013103,1.370198,0.014135,7.311730,0.012309,0.065682,394104.000000,22.149001,44.540193,0.196418
5,8,44,34,44,-324.333333,0.846836,2.951478,0.010799,2.345520,0.014539,1.503382,0.018083,7.852150,0.014044,0.073350,438017.000000,22.500426,44.551079,0.161237
5,8,44,34,45,-319.333333,0.859646,3.115710,0.011699,2.519817,0.014071,1.642050,0.016178,8.414461,0.013451,0.068930,489430.000000,22.682523,44.556497,0.143234
5,8,44,34,46,-314.333333,0.862396,3.315995,0.012085,2.700095,0.012165,1.769028,0.011951,8.984011,0.011420,0.057998,520442.000000,22.828910,44.552140,0.134539
5,8,44,34,47,-309.333333,0.854554,3.516446,0.011652,2.848277,0.010260,1.853471,0.008572,9.440463,0.009503,0.048402,541670.000000,23.176183,44.524753,0.126919
5,8,44,34,48,-304.333333,0.844200,3.725733,0.011322,2.992322,0.009509,1.927904,0.007415,9.881134,0.008802,0.045113,563055.000000,23.274587,44.449142,0.110983
5,8,44,34,49,-299.333333,0.833321,3.938267,0.010793,3.132816,0.008969,1.996431,0.006865,10.310207,0.008323,0.042984,568988.000000,23.693263,44.463023,0.117021
5,8,45,34,40,-344.333333,0.796511,2.261021,0.019744,1.664779,0.022490,0.994328,0.024685,5.657786,0.020957,0.119249,283572.000000,23.662721,44.677540,0.037186
