fov,line,cellID,parentID,frame,tTrans,w,L,growthRateL2_0,area,growthRatearea2_0,V,growthRateV2_0,SA,growthRateSA2_0,beta2SA_V_2_0,Itot,xCM,yCM,orientation
5,3,36,18,29,-399.333333,0.867576,1.937251,0.004427,1.519184,0.008141,0.974266,0.011889,5.280112,0.008045,0.043601,258629.000000,18.064151,13.336704,0.104454
5,3,36,18,30,-394.333333,0.882932,1.980128,0.003164,1.581022,0.005473,1.032179,0.007719,5.492506,0.005376,0.028607,264215.000000,18.071169,13.250616,0.098305
5,3,36,18,31,-389.333333,0.887391,1.999908,0.003186,1.605709,0.004624,1.053945,0.005994,5.575386,0.004417,0.023365,281849.000000,18.116949,13.240759,0.047656
5,3,36,18,32,-384.333333,0.893758,2.043845,0.004228,1.655278,0.006460,1.095356,0.008622,5.738756,0.006228,0.032631,235282.000000,18.003634,13.177450,-0.041613
5,3,36,18,33,-379.333333,0.905169,2.086321,0.004381,1.712643,0.005150,1.148391,0.005762,5.932814,0.004746,0.024520,255809.000000,18.017160,13.250986,0.024121
5,3,36,18,34,-374.333333,0.897475,2.135251,0.005707,1.743482,0.007493,1.161528,0.009167,6.020346,0.007045,0.036516,270678.000000,17.983738,13.334080,0.019672
5,3,36,18,35,-369.333333,0.916358,2.208179,0.007194,1.843279,0.010426,1.254864,0.013472,6.356960,0.010001,0.050665,284855.000000,18.040656,13.232728,0.019106
5,3,36,18,36,-364.333333,0.923547,2.294102,0.007492,1.935669,0.009444,1.330585,0.011185,6.656129,0.008867,0.044354,299651.000000,18.047915,13.301066,0.001455
5,3,36,18,37,-359.333333,0.929113,2.380055,0.007433,2.026084,0.008051,1.403688,0.008416,6.947127,0.007374,0.036497,323199.000000,18.070278,13.213318,0.014920
5,3,36,18,38,-354.333333,0.923421,2.471010,0.008003,2.098789,0.009225,1.448727,0.010221,7.168429,0.008564,0.042376,351571.000000,18.127709,13.223461,0.002816
5,3,36,18,39,-349.333333,0.933641,2.577815,0.008982,2.219689,0.010456,1.551761,0.011659,7.561040,0.009774,0.047625,366439.000000,18.109603,13.206847,0.003867
5,3,36,18,40,-344.333333,0.931347,2.702561,0.009298,2.330876,0.008319,1.629651,0.007024,7.907461,0.007439,0.036098,386713.000000,18.240850,13.143500,-0.012126
5,3,36,18,41,-339.333333,0.916904,2.829093,0.009659,2.413589,0.008246,1.666226,0.006479,8.149314,0.007345,0.035922,412963.000000,18.248650,13.114266,-0.011455
5,3,36,18,42,-334.333333,0.909845,2.975832,0.010826,2.529894,0.011388,1.737603,0.011653,8.506005,0.010602,0.051901,433981.000000,18.301883,13.130710,0.019957
5,3,36,18,43,-329.333333,0.914259,3.151265,0.012355,2.701692,0.014234,1.868706,0.015826,9.051152,0.013486,0.065322,453318.000000,18.361884,12.985153,-0.026239
5,3,36,18,44,-324.333333,0.920041,3.365174,0.013694,2.914444,0.016470,2.033351,0.018981,9.726684,0.015738,0.075283,487559.000000,18.480182,13.002772,-0.022403
5,3,36,18,45,-319.333333,0.932518,3.612078,0.015344,3.181713,0.021099,2.254662,0.026744,10.581915,0.020482,0.096129,544721.000000,18.581320,13.107416,-0.010371
5,3,36,18,46,-314.333333,0.965965,3.919395,0.015682,3.585754,0.022536,2.636342,0.028955,11.894059,0.022064,0.099543,683746.000000,18.785932,13.093807,-0.024290
5,3,37,18,29,-399.333333,0.967656,1.950766,0.009949,1.686726,0.010890,1.197411,0.011418,5.930289,0.009675,0.047915,315995.000000,19.793924,13.146299,-0.167897
5,3,37,18,30,-394.333333,0.966392,2.047807,0.009585,1.778564,0.008823,1.265772,0.007633,6.217161,0.007534,0.037007,323109.000000,19.887238,13.059806,-0.167697
5,3,37,18,31,-389.333333,0.948639,2.147050,0.009254,1.843652,0.007383,1.294022,0.005045,6.398720,0.006073,0.030032,350351.000000,20.084223,13.063489,-0.164195
5,3,37,18,32,-384.333333,0.935982,2.246501,0.008469,1.914680,0.008909,1.331053,0.009036,6.605779,0.008014,0.039771,321204.000000,20.101094,13.173498,0.188414
5,3,37,18,33,-379.333333,0.943517,2.337299,0.007917,2.014237,0.008368,1.414296,0.008537,6.928092,0.007602,0.037239,342396.000000,20.190079,13.160683,0.157920
5,3,37,18,34,-374.333333,0.933698,2.431543,0.008823,2.083239,0.009527,1.451786,0.009943,7.132445,0.008709,0.042788,358543.000000,20.257588,13.202939,0.145026
5,3,37,18,35,-369.333333,0.941681,2.551834,0.008960,2.212712,0.011834,1.558641,0.014512,7.549289,0.011259,0.054533,390233.000000,20.396687,13.110829,0.152218
5,3,37,18,36,-364.333333,0.955153,2.660182,0.008941,2.345096,0.011479,1.677973,0.013785,7.982411,0.010900,0.051852,408849.000000,20.501338,13.185986,0.136585
5,3,37,18,37,-359.333333,0.960670,2.789678,0.010390,2.481908,0.009720,1.789945,0.008718,8.419346,0.008789,0.041342,444106.000000,20.692979,13.099252,0.121528
5,3,37,18,38,-354.333333,0.941151,2.950036,0.011054,2.586341,0.009987,1.834028,0.008523,8.722405,0.009005,0.042825,473549.000000,20.856202,13.111332,0.098159
5,3,37,18,39,-349.333333,0.940368,3.115768,0.010593,2.740199,0.010222,1.946267,0.009545,9.204771,0.009415,0.044526,487966.000000,20.980613,13.077670,0.097875
5,3,37,18,40,-344.333333,0.930544,3.280093,0.010628,2.866445,0.009660,2.019795,0.008374,9.588993,0.008854,0.042032,510068.000000,21.250147,13.058438,0.096988
