fov,line,cellID,parentID,frame,tTrans,w,L,growthRateL2_0,area,growthRatearea2_0,V,growthRateV2_0,SA,growthRateSA2_0,beta2SA_V_2_0,Itot,xCM,yCM,orientation
15,1,27,15,29,-398.083333,0.868860,1.755429,0.014869,1.363216,0.024163,0.869095,0.033551,4.791628,0.023295,0.128434,649142.000000,32.899167,6.982010,0.061104
15,1,27,15,30,-393.083333,0.902934,1.885933,0.013033,1.527910,0.019108,1.014890,0.024772,5.349734,0.018236,0.096125,706205.000000,32.836549,7.034686,0.049100
15,1,27,15,31,-388.083333,0.917320,2.001217,0.011829,1.655173,0.016074,1.120507,0.020006,5.767196,0.015142,0.077937,756940.000000,32.788199,7.038643,0.021846
15,1,27,15,32,-383.083333,0.933191,2.122663,0.011370,1.793965,0.014066,1.239062,0.016376,6.223023,0.013075,0.065670,765313.000000,32.850008,7.041520,-0.002823
15,1,27,15,33,-378.083333,0.934095,2.242558,0.010521,1.907514,0.011662,1.323419,0.012439,6.580886,0.010642,0.052921,871055.000000,32.812178,7.051842,0.008502
15,1,27,15,34,-373.083333,0.934363,2.358593,0.010143,2.016427,0.010151,1.403680,0.009787,6.923384,0.009125,0.045006,912925.000000,32.800799,7.074515,-0.021656
15,1,27,15,35,-368.083333,0.925075,2.481800,0.010707,2.112203,0.010521,1.460803,0.009947,7.212629,0.009476,0.046785,1063505.000000,32.735339,7.148900,-0.018321
15,1,27,15,36,-363.083333,0.922648,2.624325,0.011316,2.238642,0.012257,1.548980,0.012857,7.606825,0.011330,0.055642,1104211.000000,32.712711,7.159678,-0.026029
15,1,27,15,37,-358.083333,0.924941,2.778771,0.011992,2.386604,0.011596,1.659951,0.010825,8.074520,0.010584,0.051483,1135312.000000,32.667444,7.191472,-0.022936
15,1,27,15,38,-353.083333,0.910669,2.957554,0.012989,2.515380,0.011910,1.728669,0.010407,8.461420,0.010830,0.053010,1207297.000000,32.612711,7.268096,-0.031120
15,1,27,15,39,-348.083333,0.904820,3.162935,0.013904,2.686193,0.014469,1.839849,0.014671,8.990884,0.013527,0.066103,1318661.000000,32.494356,7.262684,-0.021015
15,1,27,15,40,-343.083333,0.906734,3.397336,0.014887,2.904041,0.014405,1.998587,0.013550,9.677611,0.013430,0.065031,1352934.000000,32.428298,7.323616,-0.023268
15,1,27,15,41,-338.083333,0.892851,3.668695,0.014793,3.104520,0.012915,2.110651,0.010619,10.290591,0.011913,0.058084,1452676.000000,32.328160,7.278492,0.004021
15,1,28,15,29,-398.083333,0.846719,1.782098,0.021923,1.355081,0.036203,0.844537,0.050953,4.740463,0.034982,0.196360,640403.000000,31.221708,7.004487,0.067232
15,1,28,15,30,-393.083333,0.896547,1.977441,0.018297,1.600372,0.027513,1.059695,0.036165,5.569628,0.026462,0.139082,727118.000000,30.924381,7.050077,0.043743
15,1,28,15,31,-388.083333,0.922649,2.143909,0.015538,1.795388,0.023142,1.227779,0.030509,6.214304,0.022233,0.112533,801434.000000,30.745215,7.051309,0.037271
15,1,28,15,32,-383.083333,0.957627,2.310569,0.013681,2.015862,0.019238,1.434274,0.024373,6.951284,0.018386,0.089110,958018.000000,30.710771,7.081571,0.026394
15,1,28,15,33,-378.083333,0.969464,2.460018,0.011438,2.183203,0.014194,1.577357,0.016619,7.492381,0.013317,0.063254,1009771.000000,30.548674,7.125124,0.029276
15,1,28,15,34,-373.083333,0.976199,2.591942,0.009156,2.325744,0.011070,1.696409,0.012726,7.949021,0.010374,0.048612,1101900.000000,30.397129,7.098900,-0.042747
15,1,28,15,35,-368.083333,0.981485,2.697338,0.008597,2.440669,0.010775,1.793239,0.012741,8.317047,0.010176,0.047198,1278574.000000,30.208116,7.127272,-0.045520
15,1,28,15,36,-363.083333,0.991440,2.823834,0.009649,2.588718,0.010704,1.924893,0.011464,8.795397,0.009955,0.045485,1330926.000000,30.067112,7.132302,-0.056600
15,1,28,15,37,-358.083333,0.985279,2.969811,0.010463,2.717763,0.011026,2.013910,0.011279,9.192591,0.010196,0.046540,1379819.000000,29.858516,7.203595,-0.053060
15,1,28,15,38,-353.083333,0.988336,3.134566,0.010902,2.888379,0.011186,2.152041,0.011155,9.732667,0.010365,0.046877,1433386.000000,29.695431,7.233137,-0.055378
15,1,28,15,39,-348.083333,0.980574,3.311535,0.011712,3.040859,0.010914,2.253968,0.009767,10.201393,0.010006,0.045287,1541112.000000,29.353008,7.243475,-0.039671
15,1,28,15,40,-343.083333,0.971753,3.522421,0.012867,3.220274,0.011717,2.372184,0.010204,10.753429,0.010779,0.048864,1642759.000000,28.999713,7.313027,-0.032537
15,1,28,15,41,-338.083333,0.960530,3.764763,0.012398,3.418174,0.009293,2.496027,0.005873,11.360531,0.008355,0.038026,1635523.000000,28.617600,7.350933,0.031254
15,1,28,15,42,-333.083333,0.933788,3.989177,0.011251,3.537921,0.006769,2.518767,0.001806,11.702575,0.005846,0.027160,1751035.000000,28.036182,7.361290,0.021481
15,1,35,27,42,-333.083333,0.879288,1.974189,0.014940,1.569962,0.016314,1.020807,0.017125,5.453429,0.014715,0.078610,700235.000000,33.124333,7.317374,0.015360
