,p1ori,p1longori,p5ori,p1longter,p5ter
0,0.01833904129669858,0.018744894728382328,0.014920006280801581,0.01655167225018093,0.01312990774941033
1,0.018218252494509892,0.01873938151228083,0.014850732829850109,0.01655618291696829,0.013039531816389453
2,0.01815340144219136,0.018792710433323163,0.014724310523075483,0.016576140157189525,0.013014437928229818
3,0.01817284432076092,0.018778655708784776,0.014645440455208578,0.01683409606310049,0.013005945177467775
4,0.01814341043560619,0.018633997092197985,0.014686016634759175,0.016896858853775048,0.0129953293148161
5,0.01821040339414459,0.018649965195091725,0.014761715091962915,0.016985211800993345,0.012983004842404935
6,0.01827894795951569,0.01869310948602611,0.014841733204332448,0.016999770062534673,0.012921055166390473
7,0.018321799236673375,0.01868455298359376,0.014907327064951213,0.016792779112616365,0.01288293375503732
8,0.018231139982873245,0.01871374894862253,0.015043791552474756,0.01677182204630064,0.012835792088888754
9,0.018206290583872863,0.018756131689004706,0.01507806470885734,0.016822263344820086,0.012806699130048187
10,0.017991350357062036,0.018628547546358003,0.015077111140167826,0.01674061524478384,0.012762829386714943
11,0.017869750145682737,0.018523142610682077,0.015061571320504641,0.01666268320412159,0.012724365925187622
12,0.017831845772089336,0.018335173874028717,0.01497099029949383,0.016937495287160605,0.012713896322547618
13,0.017788534693975615,0.018254314844888667,0.014850900399969181,0.0167752183088789,0.012631313195779054
14,0.017830962702922323,0.018059003779706477,0.014746189931834715,0.016807078256210174,0.012624442399195563
15,0.017928487831234432,0.017964296013458492,0.014647704005822484,0.016682667873235447,0.012578540675127104
16,0.018037506732822253,0.01791134927193493,0.014602896920261755,0.016492183064209832,0.012573250788466004
17,0.01799427180079377,0.017960257224293792,0.014589773150423712,0.016252852767960645,0.012571266178165987
18,0.01799011588911927,0.018054965936885214,0.014592923004757138,0.016350645885928543,0.01259903611764507
19,0.017917172588400514,0.018146467468876337,0.014726343788273958,0.016146871739187576,0.012589145745735785
20,0.017816488045195873,0.018301678050485545,0.014826877509777089,0.016418605417010103,0.012633905040473547
21,0.017669796335105806,0.018369692112768652,0.014921331473396561,0.01668229033296208,0.012650876978416124
22,0.017624816601202065,0.0183792613304026,0.014922125640545337,0.016885181485539403,0.012612097794633417
23,0.017615166380624568,0.01825570267779262,0.014897906791884725,0.017014095485914288,0.012628401489940641
24,0.01772822170156841,0.01830118671208588,0.014830567831284355,0.01706790074168357,0.012661070216985156
25,0.017793339624507364,0.018278206356822542,0.014744464833155923,0.01704544635825306,0.012722512858918011
26,0.017831903774060544,0.018304135601688577,0.014728299509538556,0.017030444770560843,0.012717865173640326
27,0.01788555033547775,0.018241057774606665,0.014898456436914752,0.016893130156879915,0.012703676928795232
28,0.017862230763494566,0.018163915099390353,0.01496920811238713,0.016793368878770774,0.01267251942737098
29,0.017752976742461644,0.018162289609384197,0.015103035955519713,0.016841976399106708,0.012636219645224224
30,0.017728604805439654,0.01809011763843368,0.015209143089640546,0.016618506638004633,0.012609608941178286
31,0.017654491469822783,0.017932640001535098,0.015258784809366181,0.01654753828202256,0.012741787444592026
32,0.0175435650700005,0.01777735468164072,0.015214204433091384,0.01664107883811152,0.01284155305709444
33,0.017528185594676005,0.017638288618252094,0.01529746251122493,0.016679071262873473,0.012917293259127745
34,0.017436029544930478,0.017456196216713148,0.015229710417617944,0.01655697092636675,0.013027573435174522
