,time,growth_rate,p1lo_p5t_phi_r,sigma_p1lo_p5t,p1lo_p5o_phi_r,sigma_p1lo_p5o,sigma2_p1lo_p5t,d_phi_r,chi1_r,chi2_r
0,-300.0,0.018744894728382328,0.18441002432641862,0.1016479163584001,0.18302923716982736,0.10241475634294155,0.07113327103123808,0.0002876475592096927,0.19975540574241318,0.20633824475052603
1,-295.97701149425285,0.01873938151228083,0.18556722715082544,0.10098432681245931,0.18417777533078464,0.10174616062456375,0.07022979621455877,0.00026631571933168486,0.1997787804594101,0.20600220234913438
2,-291.95402298850576,0.018792710433323163,0.1865527944819609,0.10073668682106159,0.18515596313514135,0.10149665241732868,0.06976328162229005,0.00019512173759803666,0.19693563618488247,0.2015453958707935
3,-287.9310344827586,0.018778655708784776,0.18713717216598205,0.10034701011795226,0.1857359652370669,0.10110403596210543,0.06947403651120129,0.0001855816183139502,0.19701975488073592,0.20141139139187972
4,-283.9080459770115,0.018633997092197985,0.18804597991667085,0.09909277029190042,0.18663796820545306,0.09984033405081587,0.06909461555394185,0.00019090806564450139,0.19829112832470802,0.2027391673621018
5,-279.88505747126436,0.018649965195091725,0.18867321407346654,0.09884797525010469,0.18726050588833937,0.09959369225570938,0.06879964426409574,0.0002248174790055143,0.20072779308494273,0.2059926455984733
6,-275.8620689655172,0.01869310948602611,0.18985485618453132,0.09846000182295657,0.18843330034452963,0.09920279192609698,0.06804514833586146,0.00022463885820509956,0.20187205740902672,0.20724351185518214
7,-271.8390804597701,0.01868455298359376,0.1904806531624731,0.09809160496555265,0.18905441160957193,0.09883161585343163,0.06762141503390533,0.00016041289436419153,0.19906597465799103,0.20293451802493362
8,-267.81609195402297,0.01871374894862253,0.19114553464493286,0.09790314476027243,0.18971431473028055,0.09864173388933842,0.0671519327549671,0.00014806383546122134,0.1990575695807291,0.20268076631866744
9,-263.7931034482759,0.018756131689004706,0.19167197137882774,0.097855370057912,0.19023680972031645,0.09859359877081472,0.06680318221038116,0.0001060560068804957,0.19732644260130633,0.1999548159327728
10,-259.7701149425287,0.018628547546358003,0.1919988588382242,0.09702426180592136,0.19056124957955,0.09775622057191379,0.06646170802154992,5.1869994238511095e-05,0.19478329461398344,0.19606372315981882
11,-255.7471264367816,0.018523142610682077,0.19208931616005714,0.09642984305929743,0.19065102959379804,0.09715731748287733,0.06621781538558834,3.268439795330686e-05,0.19385383304794518,0.19465889785923768
12,-251.72413793103448,0.018335173874028717,0.19226183675279104,0.09536564397646922,0.19082225842259687,0.09608508999732861,0.06607766160157608,2.148662873678695e-05,0.19343371703516035,0.19395313627948024
13,-247.70114942528735,0.018254314844888667,0.19226219708092784,0.09494489879986642,0.1908226160527433,0.09566117068557105,0.06564857401268862,5.6094079563408564e-05,0.1953351187457536,0.19670644040037003
14,-243.67816091954023,0.018059003779706477,0.19271316842743916,0.09370923599601393,0.19127021070948122,0.0944161859430173,0.06547208482002266,0.0001396312392651543,0.20044511427386855,0.20377978926322274
15,-239.6551724137931,0.017964296013458492,0.19338566682214173,0.09289362706482478,0.19193767371009596,0.0935944239930296,0.06500584218255828,0.00017315575826919012,0.20302455042434162,0.20715967279762704
16,-235.632183908046,0.01791134927193493,0.19410637567788092,0.09227594513257396,0.19265298619144997,0.0929720822190393,0.06476278488566671,0.00018224939919115428,0.2042814549767207,0.20860413176969977
17,-231.60919540229884,0.017960257224293792,0.1948520412983924,0.09217382124721919,0.1933930685714859,0.09286918790295194,0.06445433810706676,0.0001226490180827656,0.2016809534097883,0.204617821892139
18,-227.58620689655172,0.018054965936885214,0.1950932068578572,0.09254533372881542,0.1936324283814621,0.09324350310432689,0.06452938493960107,0.000105231975003739,0.20092162965143093,0.20345208604210452
