,time,growth_rate,p1o_p5t_phi_r,sigma_p1o_p5t,p1o_p5o_phi_r,sigma_p1o_p5o,sigma2_p1o_p5t,d_phi_r,chi_r,chi2_r
0,-300.0,0.019161320997217696,0.22963953765951509,0.08344086211159357,0.19725941745954195,0.09713767405375055,0.05712295180082554,1.670566694875465e-05,0.2305113808352116,0.23091305984127977
1,-295.97701149425285,0.01903122188692293,0.22970674436563077,0.08285007886677628,0.19731714774341583,0.0964499137787581,0.05673472314839501,7.012393072968637e-06,0.23007521219784005,0.2302448202962837
2,-291.95402298850576,0.01899104708208189,0.22969595921297575,0.0826790647391113,0.19730788334168597,0.09625082769345983,0.05665983495514201,8.49219716326519e-06,0.23014312766696152,0.2303484755781513
3,-287.9310344827586,0.018972541140254123,0.22977507238878347,0.08257005837496702,0.19737584123400825,0.09612392794192239,0.05658218098464651,1.556019472154666e-05,0.23059521527879057,0.2309719022939806
4,-283.9080459770115,0.018893143395608995,0.2298211561819997,0.08220802518566724,0.1974154270226612,0.0957024670287812,0.05653511149564172,1.531767642660075e-05,0.23063190937991174,0.2310000769897963
5,-279.88505747126436,0.018847142705750917,0.2298983180611814,0.08198034185154518,0.19748170875921495,0.0954374094905712,0.05646257058289405,-1.7442064638343436e-06,0.22980577318628628,0.22976394832912372
6,-275.8620689655172,0.01886766547889023,0.22980712233688838,0.08210217893608605,0.19740337200748576,0.09557924612440129,0.05621541108034833,9.611464288442468e-06,0.23031653693824414,0.23055111847512502
7,-271.8390804597701,0.018857505566730565,0.22997565168189302,0.08199783511349562,0.19754813802103585,0.0954577742703023,0.05600841310473002,3.242951648317377e-05,0.23169536569011198,0.23249335960953288
8,-267.81609195402297,0.018875871433605484,0.23006804948100587,0.08204473187905152,0.19762750735008652,0.09551236913679173,0.055791284873515104,2.8677046039242497e-05,0.23158729303699807,0.23230219645383404
9,-263.7931034482759,0.01893537808416583,0.23020638653508232,0.08225392166207418,0.19774633831002625,0.09575589740872464,0.05562094875543985,4.329986206523343e-05,0.2324931041212203,0.23358805285689394
10,-259.7701149425287,0.01882626314964789,0.2304164391757836,0.08170538185986558,0.19792677266363484,0.09511731483462342,0.05538047607289798,6.0948068733645125e-05,0.233653835160806,0.23519271944538023
11,-255.7471264367816,0.018838857360628413,0.2306967732950082,0.08166068858075375,0.19816757851795713,0.09506528515673068,0.055136162909244314,6.137904565010572e-05,0.2339548820260814,0.23552227054421546
12,-251.72413793103448,0.018881928570948513,0.23091029356607182,0.08177170571023377,0.19835099155177127,0.09519452574059944,0.05501795693752064,1.7847255695800308e-05,0.23185549657479732,0.23231512330836307
13,-247.70114942528735,0.018945895866289333,0.23084037190405488,0.08207358058738483,0.19829092913195526,0.095545953358671,0.054677346821098705,3.122385068103583e-05,0.23248842544036682,0.23331418716007654
14,-243.67816091954023,0.019035826269555696,0.23116151995086176,0.08234859449618674,0.19856679398204619,0.0958661107822331,0.0545823237011882,5.988813315422843e-05,0.2343075947419523,0.23590801697880986
15,-239.6551724137931,0.019129250910447624,0.2313222304466751,0.08269525533066888,0.19870484363632995,0.09626967596954014,0.05434496335926901,1.9124743712603155e-05,0.23232199482857038,0.2328435447639703
16,-235.632183908046,0.019109972249619387,0.23131539719912408,0.08261435460419818,0.19869897390481503,0.09617549539422307,0.05434514781625878,2.0134359349699534e-05,0.2323690020441076,0.23291706520029434
17,-231.60919540229884,0.01903762261504872,0.23148423103914395,0.08224155282451814,0.19884400147832965,0.09574149822730998,0.054254491955328846,0.00011686359899821573,0.23762279158114347,0.24078935459457282
18,-227.58620689655172,0.018966758719037483,0.2322556790301442,0.08166327212423428,0.1995066721266684,0.09506829278870099,0.054204248942381905,0.00011347320894379945,0.2382384202367323,0.24126918318775764
19,-223.5632183908046,0.018815239475098087,0.23239723386972624,0.08096154658039197,0.1996282671511103,0.09425137904370895,0.05413912383365938,7.390234120846788e-05,0.23632502555721857,0.23827099146214742
20,-219.54022988505747,0.018669230868701543,0.23285029556860315,0.080176968739132,0.20001744528526155,0.09333801280221231,0.054214614167552896,0.00014378690995431307,0.24055210776245028,0.2442403601292825
21,-215.51724137931035,0.018552984014793137,0.23355414004177244,0.07943761567007476,0.2006220447900966,0.09247729497625466,0.05412353521754064,0.000177456386518444,0.24311898343176028,0.24759254958217633
22,-211.4942528735632,0.01848051031704749,0.2342781055750734,0.07888278877654444,0.20124392820274947,0.09183139328521119,0.053834007597472734,0.0001460601082225172,0.24218157283418815,0.24585902934847553
23,-207.4712643678161,0.018441624328134402,0.23472933631482717,0.07856548575334381,0.20163153355055177,0.09146200499194654,0.05377835955746986,8.30689987264262e-05,0.23923376592733678,0.24130991451506734
24,-203.44827586206895,0.018666451519867174,0.23494647682919406,0.07944980393742049,0.20181805635845945,0.09249148394687108,0.05385633893264526,4.11839706124061e-05,0.2371527863984538,0.23820126291708923
25,-199.42528735632183,0.018901239314189477,0.23506070159561665,0.08041003530528874,0.201916174962571,0.09360933722963592,0.05412533862207057,1.4703890929931668e-05,0.23583863423196463,0.23621641890559336
26,-195.4022988505747,0.01904488848837792,0.2350647839975958,0.08101974342772121,0.2019196817290645,0.09431912889964002,0.05409413709778093,-4.0782294807258016e-05,0.23292340654442012,0.23185752603681914
27,-191.3793103448276,0.019163445768979274,0.23473256818912147,0.08163948410234874,0.20163430971726545,0.09504059996461185,0.05408780258151904,-5.687209304176419e-05,0.23176482983311947,0.23025309931127985
28,-187.35632183908046,0.01925771910728857,0.23460719244438621,0.0820849476379699,0.20152661246869016,0.09555918630985033,0.054005958860000904,-2.935164817857253e-05,0.23308304267280378,0.2322906007786945
29,-183.33333333333331,0.019179521025879706,0.2344964055026272,0.08179025595198228,0.20143144694181164,0.09521612100329188,0.05387617426231127,-5.479392890098869e-05,0.2316395078341686,0.23015930483185237
30,-179.31034482758622,0.01912804053939727,0.2341663217520794,0.0816857026931859,0.20114790635899413,0.09509440533404775,0.053838456180709454,-4.620724005074058e-05,0.23175064096368034,0.23050116125749764
31,-175.28735632183907,0.018984606470554288,0.23412462311141435,0.08108761145349486,0.20111208739832964,0.09439813745731111,0.05442309858424639,2.8112140600192192e-05,0.23560540917057207,0.23633091800704328
32,-171.26436781609195,0.01879535528527964,0.23439251138909245,0.08018752465209641,0.20134220232600106,0.09335030146758475,0.05480973327896258,5.4044554064091725e-05,0.237267932111063,0.23859929832700047
33,-167.24137931034483,0.018641893997123994,0.2345594643510105,0.07947619614797131,0.20148561423296948,0.09252220843702093,0.05510560100076592,7.363720328516851e-05,0.23850955672341262,0.24025649533316554
34,-163.2183908045977,0.01850175112595192,0.23498499463391564,0.0787358833476831,0.20185114299414353,0.09166037334001485,0.05541709991172393,0.0001640129978508613,0.24384972299040103,0.2475798835562331
35,-159.19540229885058,0.0183733703186281,0.23587910916130478,0.07789316478240368,0.20261918369224144,0.0906793225785345,0.05545096510895046,0.00025785923228088554,0.24991350937254153,0.25559353335803736
36,-155.17241379310343,0.018464849097599528,0.2370597240890492,0.07789112709278015,0.2036333270547673,0.09067695040229537,0.054862220715276924,0.00022923745358885747,0.24947452652676091,0.2546857505586319
